stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,glial,immune,liver,mesenchyme,neural,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
 24-34,0,0,0,0,0.82,0,0,0,0,1.64,0,0,0,0.82,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,1.61,0
 48-58,0,0,0,0,1.15,0,0,0,1.72,0.57,0,0,0,0,0.57,0
 60-70,0,0.98,0,0,2.94,0,0,0,0,0,0,0,0,0.98,0,0.98
 72-82,0,0,0,0,1.96,0,0,0.98,0.98,2.94,0.98,0,0,0,0,0
 84-94,0,0,1.06,0,2.12,0,0,3.19,1.06,1.06,0,0,0,4.25,1.06,0
 96-106,1.09,0,0,0,1.09,1.09,3.28,1.09,0,1.09,0,0,0,2.19,0,1.09
108-118,0,0,0.77,1.53,0.77,2.3,3.83,0.77,1.53,1.53,0,0,0,1.53,0,0.77
120,0,0,0,1.96,0,0,0,0,0,0,0,0,1.96,1.96,0,0
