stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,taste,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,38,0,0,0
 24-34,0,1.64,1.64,0,0,0,0,0,0,0,0,2.46,0,0,8.21,0,3.28,0,154.32,2.46,0,0.82
 36-46,0,2.42,3.22,0,0,0,0,0,0,0,0.81,0,0,0.81,12.09,0,4.83,0.81,167.58,4.03,0,0
 48-58,0,3.44,2.87,0,0.57,1.15,0.57,0.57,0.57,0,1.72,0,0,0.57,6.89,0,4.02,0,123.37,2.87,0,0
 60-70,0,6.87,4.91,0,0.98,0,0,0,0.98,0,0.98,0,0.98,0.98,12.76,0,4.91,0.98,169.8,0.98,0,0.98
 72-82,0,17.67,1.96,1.96,0,0,0.98,0,1.96,0,0.98,1.96,0,0,9.82,0,3.93,0.98,195.35,0,0,0.98
 84-94,0,18.05,0,1.06,0,1.06,1.06,0,8.5,1.06,2.12,2.12,0,0,2.12,0,12.74,0,426.94,0,0,0
 96-106,0,36.06,6.56,7.65,0,2.19,2.19,1.09,5.46,0,1.09,3.28,0,0,12.02,0,21.86,0,425.12,0,0,0
108-118,0,36,0,4.6,0,2.3,0,0,6.13,0,0,1.53,0,0,5.36,0,8.43,1.53,296.43,0,2.3,0
120,0,25.48,1.96,7.84,0,0,0,0,5.88,0,3.92,3.92,0,0,3.92,0,15.68,3.92,278.29,0,0,0
