stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 14-21,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,27.91,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,1.64,0.82,0,1.64,1.64,0,0.82,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,26.59,0,0.81,0,0.81,0,0,0,0,0,0,0,0,0,0,4.03,0,0,0,4.03,0,0.81,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,60.25,0,1.15,0,4.02,0,0.57,0,0.57,0,0,0,0,0,1.15,13.2,0,0,0.57,4.02,0,1.72,0,0,0,0,0,1.15,0,0,0,0,0
 60-70,0,98.15,0,2.94,0,18.65,0,0,0,0,0,0,0,2.94,0,0,50.06,3.93,0.98,0,3.93,0.98,2.94,0,0,0,0,0,0,0,0,0,0,1.96
 72-82,0,154.12,4.91,4.91,0,26.5,0.98,0.98,0.98,0,1.96,0,0,6.87,3.93,0.98,146.27,3.93,1.96,2.94,8.83,0,1.96,0,0,3.93,0,0.98,0.98,0.98,1.96,1.96,0.98,1.96
 84-94,0,349.41,1.06,7.43,0,61.6,2.12,0,1.06,0,1.06,2.12,0,11.68,1.06,0,118.95,6.37,1.06,3.19,9.56,2.12,7.43,0,0,1.06,0,0,1.06,1.06,3.19,0,1.06,2.12
 96-106,0,360.64,1.09,21.86,0,71.04,3.28,7.65,7.65,2.19,4.37,0,1.09,33.88,31.69,1.09,256.82,6.56,13.11,6.56,27.32,2.19,6.56,2.19,0,7.65,4.37,1.09,0,1.09,5.46,8.74,3.28,5.46
108-118,0,438.9,0.77,7.66,0.77,135.58,2.3,0.77,8.43,1.53,3.06,1.53,0.77,41.36,52.09,2.3,215.24,3.06,2.3,2.3,20.68,3.83,16.09,1.53,0,6.89,2.3,0,0.77,0,3.06,5.36,0,4.6
120,0,374.32,3.92,5.88,0,121.51,3.92,3.92,3.92,0,0,1.96,1.96,35.28,60.75,1.96,256.73,7.84,3.92,7.84,37.24,5.88,5.88,3.92,0,1.96,0,0,1.96,1.96,1.96,5.88,1.96,3.92
