stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,65.72,0,0,34.17,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,49.95,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,56.65,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,78.67,107,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,42,37,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,33,76,0,1,0,0,1,1,2,220,0,0,0,0,0
 24-34,0,0,3.28,41.86,44.33,0,0,0.82,0,0,2.46,0,0,0,0,0,1.64,0.82,0,0,0,149.4,20.52,0,0,0,0,0,0,0,198.65,0,0,0,0,0
 36-46,0,0,1.61,6.45,25.78,0,0,2.42,0,0,2.42,0.81,0.81,0,0,0,4.03,2.42,0,0,0,149.85,17.72,0,0,0,0,0,0,0,133.74,0,0,0,0,0
 48-58,0,0,1.72,4.02,20.08,0,0,6.89,0,0,4.02,3.44,0,0,0,0,2.3,2.87,0,0,0.57,90.09,12.05,0,0,0,0,0,0,0,91.81,0,0,0,0,0
 60-70,0,0,5.89,0,27.48,0,0,5.89,0,0,14.72,15.7,0,0,0.98,0,5.89,3.93,0,0,0,74.6,9.82,0,0,0,0,0,0,0,52.02,0.98,0,0,0,0
 72-82,0,0,29.45,1.96,36.32,0,0.98,13.74,0,0.98,22.58,50.06,0,0,0,0,6.87,1.96,2.94,0,0,62.83,3.93,0.98,0,0,0.98,0,0,0,53.01,15.71,0,0,0.98,0.98
 84-94,0,0,29.74,5.31,56.29,0,1.06,11.68,0,1.06,20.18,77.53,0,1.06,2.12,1.06,28.68,1.06,0,1.06,1.06,41.42,22.3,0,0,0,1.06,0,0,0,40.36,37.17,0,0,0,0
 96-106,0,0,31.69,4.37,55.74,0,1.09,13.11,1.09,1.09,16.39,112.56,0,0,2.19,0,26.23,2.19,4.37,0,1.09,41.53,14.21,2.19,0,1.09,2.19,1.09,0,0,71.04,96.17,1.09,0,0,1.09
108-118,0,0,18.38,3.06,42.13,0.77,1.53,8.43,0,0,13.02,88.85,0,0,1.53,0.77,44.43,3.06,5.36,0,0,40.6,11.49,0,0,0.77,1.53,0,0.77,0,33.7,111.83,1.53,1.53,0,0.77
120,0,0,11.76,1.96,43.12,0,0,3.92,0,0,9.8,58.79,0,0,0,1.96,27.44,1.96,1.96,0,0,50.95,25.48,3.92,0,1.96,0,0,0,0,19.6,37.24,0,0,0,0
