stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,0,0,0,0,0,1,0,3,3,2,0,0
 24-34,0,1.64,0,0.82,6.57,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0,5.75,13.13,0,0,0,0,0,0,0.82,19.7,5.75,3.28,0,0
 36-46,0,0,0,0.81,33.84,0,0,0.81,0,0.81,0,0,0,0,0,3.22,0,0,3.22,18.53,1.61,0.81,0,0,3.22,0,0,12.09,0,4.03,0,0
 48-58,0,1.15,0,13.77,49.35,0,0.57,2.3,0,0,0,0,0,0,0.57,4.59,0,0,4.59,36.72,0.57,0,0.57,0,0.57,0,0,15.49,0,7.46,0,0
 60-70,0,0.98,0,6.87,44.17,0,0,0.98,0,0,0,0.98,0.98,0,0,1.96,0,0.98,3.93,16.69,0,0,0,0,0.98,0,0,13.74,0,0.98,0,0.98
 72-82,0,0,0.98,16.69,15.71,0,0,2.94,0,0,0,0,0.98,0,0,6.87,0,0,0.98,17.67,0.98,0,0,0,0.98,0,0,4.91,0,1.96,0.98,0
 84-94,0,1.06,0,5.31,21.24,1.06,0,1.06,0,0,0,0,1.06,0,0,3.19,1.06,0,1.06,7.43,0,1.06,0,0,2.12,0,0,8.5,0,0,1.06,0
 96-106,0,0,2.19,4.37,27.32,1.09,0,3.28,0,0,1.09,0,0,0,0,6.56,0,0,3.28,9.84,0,0,0,1.09,6.56,0,0,13.11,0,0,1.09,1.09
108-118,0,0.77,0.77,3.06,6.89,0,0,0.77,0,0,0.77,0,0,0.77,0,3.83,0.77,0,4.6,8.43,0,0,0,0,0.77,0,0,9.19,0,0,0.77,0
120,0,0,0,1.96,7.84,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,3.92,0,0,0,0
