stage,axial,blastomeres,eye,fin.mesenchyme,glial,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,presomitic.mesoderm,pronephros,spinal.cord
  5-6,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,13.14,0,0,0,0,0,15.77,21.03,0,94.63,0,0,0
 10-12,0,3.15,0,0,0,0,6.29,18.88,0,66.09,0,3.15,0
 14-21,0,0,0,0,1,0,0,0,0,0,4,0,3
 24-34,0,0,0,0.82,0,0,0.82,1.64,1.64,0,0,0.82,3.28
 36-46,0,0,0,0,0.81,0,2.42,0.81,0,0,0,0,3.22
 48-58,0,0,1.15,0,0.57,0,0.57,0,0.57,0,0,0.57,1.72
 60-70,0,0,0,0,1.96,0.98,0,0,0.98,0,0,0,2.94
 72-82,0,0,0.98,0,0.98,0.98,1.96,0,0,0,0,0,0.98
 84-94,0,0,2.12,0,1.06,0,0,0,2.12,0,0,0,1.06
 96-106,0,0,1.09,0,0,0,1.09,0,0,0,0,0,1.09
108-118,0,0,1.53,0,0,0,1.53,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0
