stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,2,2,0,1,7,0,0,0,0,0
 24-34,0,0,0,0.82,0.82,0,0,0,0,0,0,2.46,0,0,56.64,0,0,0,1.64,0,0,0,23.8,0,0,0,0,0
 36-46,0,0,0,0.81,0,4.03,0,0,0,0,0,1.61,0,0.81,100.71,0,0,0,0,0.81,0,0,26.59,0,0,0,0,0
 48-58,0,0,0,14.35,0.57,14.92,0,0,0,0,0,3.44,0,0,128.53,0,0,0,0.57,0,0,0,17.21,0,0,0,0,0
 60-70,0,0,0,56.93,1.96,19.63,0,0,0,0,0,7.85,0,0,218.88,0,0,0,0.98,0,0,0,24.54,0,0,0,0,0
 72-82,0.98,0.98,0,124.67,2.94,51.05,0,0.98,0,0,0,19.63,2.94,0.98,325.91,0.98,0.98,0,0,0,0,0,27.49,0,1.96,0,0,0
 84-94,0,2.12,0,56.29,1.06,26.55,0,0,0,1.06,0,6.37,0,1.06,154,0,3.19,0,0,0,1.06,0,13.81,0,0,0,0,1.06
 96-106,0,2.19,2.19,56.83,3.28,30.6,0,0,1.09,0,0,9.84,1.09,1.09,167.21,3.28,6.56,0,1.09,0,0,0,7.65,1.09,0,0,1.09,0
108-118,0.77,0.77,0,53.62,3.83,28.34,0.77,0,0,0.77,0.77,10.72,0.77,0,197.62,0,3.83,0,0.77,0,0,0,3.83,0,0,0.77,1.53,0
120,0,3.92,0,29.4,1.96,19.6,0,0,0,0,0,5.88,0,0,192.06,5.88,0,0,0,0,0,0,7.84,0,0,1.96,0,0
