stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,0,0,0,21.03,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,37.76,3.15,0,0,6.29,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,6,3,1,0,0,0,0,0,5,0,0,0,0,1,18,0,0,0,0,0,3,0,1,1,16,0,3,0
 24-34,0,0,0,0.82,2.46,0,0,0.82,0,0,0,0,0,1.64,0.82,0,0,8.21,0,0.82,0,0,0,0,0,0,0,2.46,0,19.7,0
 36-46,0,0,0,0,0,0.81,0,0.81,0,0,0,0,0,0.81,0,0,0.81,11.28,0,0,0.81,0,0,0,0,0,0,5.64,0,12.09,0
 48-58,0,0,0,0,0.57,3.44,0,0,0,0,0,0,0,0.57,0,0.57,1.72,4.59,0,0,0,0,0,0,0,0,0,0.57,0,6.31,0
 60-70,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0.98,0,0,0.98,2.94,0,0,0,0,0.98,0,0,0,0,0,0,1.96,0
 72-82,0,0,0,0,0,4.91,0,0,0,0.98,0.98,0.98,0,1.96,0,0,2.94,4.91,0,0,0.98,0,0,0,0,0,0,0,0,12.76,0
 84-94,0,0,0,0,0,3.19,0,0,0,0,0,0,0,1.06,0,0,0,3.19,0,0,0,0,0,0,0,0,0,0,1.06,9.56,1.06
 96-106,0,0,0,0,1.09,3.28,1.09,0,0,0,0,0,0,2.19,0,0,1.09,1.09,0,0,0,0,0,0,0,0,0,0,0,10.93,0
108-118,0,0,0,0.77,0,0.77,0,0,0.77,0,0,0.77,0,0.77,0,0,1.53,1.53,0,0,0,0,0,0,0,0,0,0,0,6.89,0
120,0,0,0,1.96,0,1.96,0,1.96,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,7.84,0
