stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
 24-34,0,0,0,0,1.64,0,0,0.82,0,0,0,0,0,0.82,0,0,0,0,0,0.82,0,0,0,28.73,0.82,0,0,0,0,1.64,0,5.75,0,0,0,0,2.46,0,0
 36-46,0,0,0.81,0,0.81,0,0,4.03,0,0,0,0,0,0,0,0,0,0.81,0,0.81,0,0,0,42.7,0,0,0,0,0,1.61,0,7.25,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,8.03,0,0,0,2.87,13.77,1.72,0.57,0,0,0,0,2.3,0,0,0.57,10.33,0,0,0,0,0,0,0,2.3,0,1.15,0,0,1.15,0,0
 60-70,0.98,0,7.85,0,3.93,0,0,19.63,0,0,0,34.35,57.91,0,0,0,0,2.94,0,1.96,0,0,0,18.65,0.98,0.98,0,0,0,0.98,0,7.85,0,0.98,0.98,0,0.98,0,0
 72-82,0,0,43.19,0,15.71,0.98,0,61.84,0,0,1.96,75.59,251.31,3.93,0,0.98,0,2.94,0,21.6,0,0,0.98,90.31,0,0,0,0,0,0,0.98,19.63,0,3.93,2.94,0.98,0.98,0.98,0.98
 84-94,0,0,43.54,1.06,20.18,0,0,55.23,0,0,0,50.98,461.99,5.31,0,0,1.06,1.06,0,13.81,1.06,0,0,54.16,0,0,0,0,0,4.25,0,54.16,1.06,2.12,8.5,0,3.19,0,0
 96-106,0,0,44.81,2.19,28.41,12.02,1.09,84.15,1.09,4.37,3.28,95.08,614.18,8.74,1.09,0,1.09,9.84,1.09,21.86,0,0,2.19,149.72,0,2.19,0,0,0,13.11,3.28,48.09,0,1.09,14.21,1.09,5.46,1.09,2.19
108-118,0,0,29.11,4.6,19.15,3.06,0.77,68.94,0.77,1.53,0.77,67.4,650.3,6.13,2.3,0.77,0.77,11.49,0,22.98,0.77,1.53,1.53,145.53,1.53,2.3,1.53,0,0.77,11.49,0,62.04,0,0.77,9.19,1.53,0.77,0.77,0
120,1.96,0,19.6,0,19.6,5.88,0,31.36,0,0,0,43.12,515.42,5.88,0,0,1.96,13.72,0,21.56,0,1.96,0,97.99,0,1.96,1.96,0,0,3.92,0,43.12,0,0,7.84,1.96,0,0,0
