stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,17,1,0,0,1,0,2,1,4,0,0,0,0
 24-34,0,0.82,0.82,0,0.82,0,0,0,0,0,0,0,0,0,0,1.64,0,0.82,22.98,0.82,0,0,0,0.82,0,0.82,4.93,0,0.82,0,0
 36-46,0,0,0.81,0,5.64,0,0.81,0.81,0,0,0,0,0,0,0,2.42,0,0.81,12.89,0,0,0.81,0,4.83,0.81,0,3.22,0.81,0,0,0
 48-58,0,0,1.72,0,5.74,0.57,1.15,0.57,0,1.15,0,0,0,0,0.57,4.02,0,1.15,4.59,0,0,0,0,0.57,0,0,1.72,0,0.57,0,0.57
 60-70,0,0,0.98,0,2.94,0.98,0,0.98,0,0,0,0,0,0,0,0.98,0,0,4.91,0,0,0.98,0,1.96,0,0,0.98,0,0,0,0
 72-82,0,0,0.98,0.98,2.94,0,0.98,2.94,0,0,0,0,0.98,0,0,5.89,0,1.96,3.93,0,0.98,0,0,2.94,0,0,0,0,0.98,0,0.98
 84-94,0,0,1.06,0,2.12,0,0,0,1.06,0,1.06,0,0,1.06,0,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,2.19,0,0,0,0,0,0,0,0,1.09,0,0,1.09,4.37,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,2.19
108-118,0,0,0.77,0.77,0.77,0,0,0,0,0,0,0,0,0.77,0,3.06,0,0.77,3.06,0,0,0.77,0,0.77,0,0,0,0,0,0.77,1.53
120,0,0,3.92,0,5.88,0,0,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,3.92,0,0,0,0,0,0,0
