stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0.82,0,0,0.82,0,1.64,3.28,0,0.82,0,2.46,0,0,0.82,0,0,1.64,0
 36-46,0,0,0,0.81,0,0.81,0.81,0,0,0,0,0,0,0,0,0,0.81,0,0.81,4.83,0,0.81,0,2.42,0,0,2.42,0,0,0,0
 48-58,0,0,0,0,0,2.3,0,0.57,1.72,0,0,0.57,0,0,0,0,1.72,0,0,4.59,0,0.57,0,0,0,0.57,1.15,0,0,0.57,0
 60-70,0,0,0,0,0,7.85,0,0,7.85,0.98,0,0,0,0,0,0,1.96,0.98,0,4.91,0,0.98,0,0.98,0.98,0,0,0,0.98,0,0
 72-82,0,0,0,1.96,0.98,15.71,0,0,11.78,5.89,0,3.93,0,0,0,0,7.85,0,0,13.74,0,0.98,0,0.98,0,0,0.98,0.98,0,0,0
 84-94,0,1.06,0,1.06,0,7.43,0,1.06,15.93,12.74,0,1.06,0,0,0,0,5.31,0,0,5.31,1.06,1.06,0,2.12,0,0,0,0,0,1.06,1.06
 96-106,0,0,1.09,1.09,0,5.46,0,0,8.74,1.09,0,12.02,2.19,0,0,0,5.46,0,0,7.65,0,0,0,1.09,0,0,0,0,1.09,1.09,0
108-118,0,0,0,0.77,0.77,3.06,0,0.77,10.72,1.53,0,18.38,2.3,0,0,0,0.77,0,0,4.6,1.53,0,0,2.3,0.77,0,0,0,0,0,0
120,0,0,0,1.96,0,5.88,0,0,5.88,0,0,17.64,1.96,0,0,1.96,1.96,0,0,3.92,0,0,0,1.96,0,0,0,0,0,0,0
