stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,15.73,0,3.15,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.67,0,0,0,12.59,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,2,1,4,14,0,8,0,0,0,4,2,0,0,0,0,0,0,0,0,5,0,0,6,123,0,0,0,1,0,1,0,2,0,0,7,43,0,0,2,0,0
 24-34,0,0.82,0,3.28,1.64,0,12.31,0,0,0,1.64,0.82,0,0,0,1.64,0,0,0,0,7.39,0,0,3.28,285.66,0.82,3.28,0,0,0,0.82,0,0,0.82,0,1.64,77.98,0,0,8.21,0,1.64
 36-46,0,0,0,2.42,0.81,0,34.64,0,0,2.42,4.83,0,0,1.61,0,0.81,0.81,0,0,0.81,13.7,0,0,1.61,468.09,0.81,1.61,1.61,0,0,0.81,0,0,1.61,1.61,0,128.1,0,0,2.42,0,0
 48-58,0,0,0,1.72,0,0,72.3,0,1.72,0.57,26.4,0,0,0.57,0,0.57,1.15,0.57,0,1.72,20.66,0.57,0.57,4.59,328.22,1.15,1.15,1.15,0,0,0.57,0,0,0,0,0,101.56,0,0,4.59,0,2.3
 60-70,0,0,0,2.94,0,0,149.19,0,0,0,17.67,0.98,0.98,0.98,0,0.98,6.87,1.96,0,0,28.46,0,1.96,3.93,326.85,0.98,0.98,0,0,0.98,1.96,0,0,0.98,0,0,55.95,0,0,3.93,0,0
 72-82,0,0.98,0,1.96,0,0,116.82,0,1.96,0,34.36,1.96,0,0,0,0.98,5.89,0,0.98,0.98,39.27,0,0.98,0.98,219.89,0.98,1.96,0,0,0,5.89,0,0,0.98,0,0,26.5,0,0.98,10.8,0,0
 84-94,0,2.12,0,3.19,0,0,66.91,1.06,0,1.06,20.18,4.25,0,1.06,0,2.12,14.87,0,0,0,18.05,0,2.12,4.25,118.95,0,0,2.12,0,0,16.99,0,0,3.19,0,0,20.18,1.06,3.19,9.56,1.06,0
 96-106,0,1.09,0,3.28,2.19,1.09,54.64,1.09,1.09,0,20.76,2.19,0,1.09,1.09,0,9.84,0,0,0,21.86,0,1.09,4.37,79.78,0,1.09,2.19,0,2.19,17.49,0,0,0,1.09,0,5.46,2.19,0,5.46,1.09,0
108-118,0,1.53,0,6.13,0,2.3,41.36,0,1.53,0.77,14.55,3.83,0,0,1.53,3.06,13.02,0.77,0,2.3,18.38,0,0.77,0.77,101.11,0,0.77,0.77,0,0.77,8.43,0,0,1.53,0,0,2.3,0,1.53,5.36,0,0.77
120,0,3.92,0,5.88,3.92,0,45.08,0,1.96,1.96,15.68,9.8,0,0,0,1.96,13.72,1.96,1.96,0,17.64,0,1.96,1.96,90.15,0,0,0,0,0,13.72,0,0,1.96,0,0,1.96,0,1.96,3.92,0,1.96
