stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,226.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.69,2.63,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,12.59,0,0,50.35,0,0,3.15,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,7,14,2,0,0,3,0,0,0,6,0,23,3,0,0,0,0,2
 24-34,0,0,0,0,0.82,0,0,12.31,0,0,0,0,0,0,0,1.64,0,0,0,0.82,30.37,0,0,1.64,27.09,20.52,0,0.82,0,0,0.82,0,0,0,1.64,3.28,0,0,0.82,0,50.89
 36-46,0,0,0,0,0,0,0,16.11,0,0,0,1.61,0,0,0,0,0.81,0,0,0,62.04,0,0,4.03,30.62,28.2,0.81,4.03,0,0,0,0,0,0,0,1.61,0,0,0.81,0,88.62
 48-58,0,0,0,0,1.72,0.57,0,21.8,0.57,0,1.15,13.77,0,0,0,0,0,0,0.57,1.72,158.94,0,0,14.35,59.1,8.03,1.15,14.35,0,0,0.57,0,0,0,0,3.44,0,0.57,0.57,0,146.32
 60-70,0,0,0,0,1.96,0,0,21.59,0.98,0,10.8,22.58,0,0,0.98,0.98,0.98,0,0,0,341.57,0.98,0.98,28.46,63.8,3.93,0,16.69,0,0,0.98,0,0,0,0,5.89,0,3.93,0,0,126.62
 72-82,0,0,1.96,0,3.93,0,0,68.72,0,2.94,31.41,27.49,1.96,0.98,0,0,0.98,0,0,0,818.71,1.96,5.89,53.01,158.05,0.98,0,26.5,0,0.98,3.93,0,0,0.98,0,2.94,0,24.54,1.96,1.96,155.1
 84-94,0,0,2.12,0,10.62,1.06,0,97.71,0,3.19,30.8,26.55,0,1.06,1.06,0,1.06,0,0,0,607.49,0,6.37,36.11,71.16,4.25,1.06,29.74,0,0,0,0,0,0,0,4.25,0,29.74,2.12,4.25,82.84
 96-106,0,0,4.37,1.09,21.86,2.19,0,103.82,2.19,8.74,31.69,27.32,4.37,0,3.28,1.09,1.09,2.19,1.09,0,779.2,1.09,8.74,43.71,125.68,1.09,0,48.09,0,5.46,2.19,0,0,1.09,0,2.19,1.09,15.3,4.37,4.37,121.31
108-118,0,0,3.06,0,6.13,1.53,0.77,44.43,2.3,1.53,36.77,23.74,3.06,0.77,1.53,2.3,0,1.53,1.53,0,723.07,0,8.43,30.64,128.68,0,1.53,44.43,0,1.53,2.3,0,0,0.77,0,2.3,0,6.89,0,0,86.55
120,0,0,3.92,0,19.6,0,1.96,50.95,1.96,1.96,31.36,15.68,0,1.96,1.96,0,0,0,1.96,0,672.21,0,17.64,37.24,99.95,0,1.96,37.24,0,3.92,3.92,0,0,0,0,1.96,0,5.88,1.96,1.96,41.16
