stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,xanthophores
  3-4,0,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,6.29,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,8,1,0,0,0,0,1,0,10,0,0,0
 24-34,0,0,2.46,0.82,0,0,0,2.46,0,0,0.82,0,0,0,0,0,2.46,0,0,73.06,0,4.1,0,0,0,0,0.82,20.52,0,0,0
 36-46,0,0,2.42,0,1.61,0,0,0.81,0,0,0.81,0,0,0,0,0,0.81,0.81,0,158.72,0,6.45,0.81,0,0.81,0,0,27.39,0,0,0
 48-58,0,0,0,0,1.15,0,0,6.31,0,0,2.3,0,0.57,0,0,0,1.15,0.57,0,140.01,0,3.44,0,0,1.15,0,0,17.79,0,0,0.57
 60-70,0,0,0,0,1.96,0,0,16.69,0,0.98,1.96,0.98,0,0.98,0,0,4.91,0.98,0.98,280.72,0,3.93,0.98,0,1.96,0,0,20.61,0.98,0,0
 72-82,0,0,2.94,0,0,2.94,0,27.49,0.98,0,8.83,1.96,0,0,0,0.98,3.93,0,0,230.69,0,2.94,0,0,0,0,0,6.87,0,0,0
 84-94,0,0,4.25,0,0,0,0,26.55,0,0,4.25,4.25,0,0,1.06,0,1.06,1.06,0,137,0,0,0,0,1.06,0,1.06,14.87,0,0,0
 96-106,0,0,1.09,0,0,1.09,0,10.93,0,0,4.37,2.19,0,1.09,0,0,2.19,1.09,0,121.31,0,3.28,2.19,0,0,0,0,2.19,1.09,0,0
108-118,0,0,0.77,0,0.77,0,0.77,10.72,0,0,1.53,2.3,0,0,0,0,2.3,0,0,126.38,0,2.3,0.77,0,0,0,0,0.77,0,0.77,0
120,0,0,0,0,3.92,1.96,0,5.88,0,0,5.88,1.96,0,3.92,0,0,1.96,0,0,107.79,0,1.96,1.96,0,0,0,0,3.92,0,0,0
