stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,41,0,0,0,0,1,0,2,27,0,0,0,0,0
 24-34,0.82,0.82,0,3.28,0,0,2.46,0,0,0,0,0,0,0,0.82,0,0,0.82,268.42,0,8.21,0.82,1.64,1.64,0,0,111.64,0,0,0.82,0,0
 36-46,0.81,0,0,11.28,0,0,3.22,0,0,0,0,0,0,0,1.61,0,0,0,634.87,0,6.45,0,0.81,3.22,0,0,211.89,0,0,0.81,0,2.42
 48-58,0,2.3,0,57.38,0,0.57,11.48,0,0,0,0,0.57,0,0.57,8.03,0,0.57,0.57,800.46,1.15,8.03,0.57,1.72,0,0,0,177.88,0,0,0,0,1.72
 60-70,0,0.98,0,267.96,0,0,8.83,0,0.98,0,0,0.98,0,0.98,15.7,0.98,0,0,1261.26,0.98,6.87,0,1.96,0.98,0.98,0,170.78,1.96,0,2.94,0,1.96
 72-82,0.98,3.93,3.93,465.31,0,1.96,25.52,1.96,0,1.96,0.98,0,0,0,19.63,0,0.98,2.94,1084.74,0,10.8,0,0.98,0,0,0,75.59,3.93,0,1.96,0.98,0
 84-94,1.06,9.56,2.12,286.75,1.06,0,22.3,2.12,0,0,0,0,0,0,8.5,0,0,4.25,517.21,0,5.31,1.06,6.37,0,0,0,59.47,2.12,2.12,1.06,1.06,1.06
 96-106,0,8.74,4.37,243.7,0,0,30.6,2.19,0,2.19,0,1.09,2.19,0,6.56,0,0,0,459,1.09,5.46,1.09,7.65,0,1.09,0,32.79,1.09,2.19,2.19,2.19,0
108-118,0,6.13,2.3,155.49,1.53,0,21.45,0.77,0,1.53,0.77,0,0.77,0,12.26,0.77,0.77,0.77,462.64,0,6.13,0.77,1.53,0.77,0.77,0,13.02,3.83,0.77,2.3,0,0.77
120,0,5.88,0,156.78,0,0,17.64,5.88,1.96,1.96,0,0,0,0,3.92,0,0,1.96,466.43,0,7.84,1.96,1.96,0,0,0,25.48,1.96,0,0,1.96,0
