stage,blastomeres,eye,fin_mesenchyme,glial,liver,mesenchyme,mural_cell,neural,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,4.1,0,0
 36-46,0,0.81,0,2.42,0,0,0,12.09,0.81,0.81
 48-58,0,0.57,0,2.3,0,0.57,0,18.94,0.57,0
 60-70,0,1.96,0.98,6.87,0,0.98,0,9.82,0,0.98
 72-82,0,1.96,1.96,3.93,0,1.96,0,6.87,0,0
 84-94,0,1.06,0,2.12,0,5.31,0,6.37,0,0
 96-106,0,1.09,0,4.37,0,3.28,1.09,5.46,0,0
108-118,0,0.77,0,5.36,0.77,2.3,0,11.49,0,1.53
120,0,1.96,0,3.92,0,1.96,0,9.8,0,1.96
