stage,erythrocytes,eye,glial,hatching.gland,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,pronephros,somites,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,2,0,12,0,2,0,0,0,0,3,0,4,1,33,2
 24-34,0,0.82,8.21,0,0.82,0,0,0,0,0.82,0,0,0,13.95,2.46
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,4.03,0
 48-58,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0.57,0
 60-70,0,1.96,0,0,1.96,0.98,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,2.94,0,0,0,0,1.96,0.98,0,0,0.98,0
 84-94,0,2.12,1.06,0,2.12,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,1.09,0,0,3.28,0,4.37,0,1.09,0,0,0,0,0,1.09
108-118,0,0,0,0,3.06,0,3.83,0,0,0.77,0,0,0,0,0
120,0,0,0,0,5.88,0,1.96,1.96,0,1.96,0,0,0,0,0
