stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,250.38,4533.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.2,0,0,0,0,0,0
  5-6,232.93,3052.56,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0,116.46,6.13,0,18.39,85.81,0,0,0,0,0,0
  7-9,36.8,31.54,84.12,0,0,118.29,0,0,0,0,44.69,0,0,0,0,843.82,63.09,0,394.31,5.26,10.51,0,0,0,0,0
 10-12,0,12.59,44.06,0,6.29,40.91,0,0,0,0,0,0,0,0,0,396.52,9.44,0,160.5,0,6.29,0,22.03,0,0,0
 14-21,0,0,0,11,1,2,0,0,0,2,0,1,1,6,3,26,0,1,2,0,0,5,0,6,9,0
 24-34,0,0,0.82,0,0,0.82,0,0,0,0,0.82,0.82,0,2.46,0,4.1,0,1.64,0,3.28,0,0,0,0,0,0.82
 36-46,0,0,0,0.81,0,0,0,0.81,0,0,0,0.81,0,0.81,0,4.83,0,0,0,0.81,0,0,0.81,0,0.81,0
 48-58,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,1.72,0,0,0,1.72,0,0,1.15,0,0.57,0
 60-70,0,0,0,0,0,1.96,0,0,0.98,0,0,0,0,0,0,2.94,0,0,0,1.96,0,0,1.96,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0,2.94,0,0,0,0,0,0,7.85,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,1.06,0,0,0,3.19,0,0,0,1.06,0,0,30.8,0,0,0
 96-106,0,0,0,1.09,0,0,1.09,0,0,0,0,2.19,0,1.09,0,0,0,0,0,0,0,0,5.46,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0.77,0,0,0,0,0,0,20.68,0,0.77,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0
