stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,heart,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,otic,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0
 24-34,2.46,0,0,0,0,0.82,0,0,1.64,0,0.82,20.52,0,0.82,0.82,4.1,0,0.82,0
 36-46,0,0,2.42,0,1.61,0,0,0,0,0,0.81,24.17,0,0.81,0,2.42,0,0,0
 48-58,1.15,0,4.02,0,1.15,0,1.15,1.15,2.87,0,1.15,22.95,0,0,0,2.87,0,0,0
 60-70,0,0,6.87,0.98,0,0,0,0,0,0,0,7.85,1.96,0,0,0.98,0,0,0
 72-82,0,0,8.83,0,0.98,0,0,0,2.94,0,0,28.47,0,0,0,3.93,0,0,0.98
 84-94,2.12,0,4.25,0,0,0,0,0,2.12,1.06,0,8.5,0,2.12,0,0,1.06,0,0
 96-106,0,0,3.28,0,0,0,0,0,0,0,1.09,5.46,0,1.09,0,2.19,0,1.09,0
108-118,0,0,2.3,0,0,0,0,0,1.53,0,0,4.6,0,0,0,2.3,0,0,0
120,0,0,3.92,0,3.92,0,0,0,1.96,0,1.96,11.76,0,1.96,0,0,0,0,0
