stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,3,1,0,0,0,0
 24-34,0,0,4.1,0.82,0,0,0,1.64,0,0,0,0,0,5.75,1.64,0,0,0,8.21,0,0.82,0,0,0,0,1.64,0,0.82,0,0
 36-46,0,0,2.42,0,0,1.61,0,0,0,0,0,0,0,0.81,7.25,0,0,0.81,5.64,0.81,0,0,0,0,0,4.03,0.81,2.42,0,0
 48-58,0,0,1.72,0,0,46.48,0.57,0,0.57,0,0,0,0,2.87,6.31,0,0,0,9.75,0,0,0,0.57,0,0,0.57,0,1.15,0,0
 60-70,0,0,1.96,0,0,531.98,1.96,0,1.96,0,0,0,0,0.98,4.91,0,0,0.98,30.43,0,0,0.98,3.93,0,0,3.93,0,0.98,0,0
 72-82,0,0.98,3.93,0,0,610.59,0,1.96,20.61,1.96,0,0.98,0,3.93,10.8,0.98,0.98,0,51.05,0,0,0,0,0,0,1.96,0,0,0,0
 84-94,0,0,5.31,0,0,260.2,2.12,1.06,9.56,0,1.06,0,0,4.25,7.43,0,1.06,1.06,32.92,0,1.06,2.12,2.12,0,0,0,0,3.19,0,0
 96-106,0,0,2.19,0,1.09,206.55,1.09,0,6.56,0,0,0,0,3.28,9.84,0,2.19,0,17.49,0,0,0,4.37,0,0,1.09,2.19,2.19,1.09,0
108-118,0,0,3.06,0,0,121.79,0.77,0,6.13,0,0,0,0.77,6.89,6.13,0,0,0,18.38,0,0.77,0.77,0,0,0,0.77,1.53,2.3,0.77,0
120,0,0,5.88,0,0,70.55,0,0,1.96,1.96,0,0,0,5.88,9.8,0,0,0,23.52,0,0,0,0,0,0,0,1.96,1.96,0,1.96
