stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,5.26,0,5.26,0,0,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,42.06,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,110.14,15.73,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,7,17,12,0,0,4,0,0,0,39,2,7,0,0,4,0,0,0,0,5,0,0,3,331,2,6,7,4,1,1,6,16,1,258,0,0,0,0,0
 24-34,0,0,4.1,0,17.24,0,0,30.37,0,1.64,0,25.45,0,0.82,0,0,4.1,0,0.82,0,0.82,10.67,2.46,0,2.46,961.22,0,36.12,4.93,0,5.75,0,0,0.82,0,324.24,0,0,0.82,0,0
 36-46,0,0,1.61,0,1.61,0,0,70.9,0,2.42,0.81,33.03,0,0,0,0,0,0,0.81,0,0,1.61,2.42,0,1.61,1254.43,0,30.62,4.83,0,6.45,0,0,0,0,302.13,0,0,0,0,0
 48-58,0,0,1.15,0,11.48,0,0,184.77,0,0,0.57,52.79,0.57,0,0.57,0,1.15,0,0.57,0.57,0,9.18,1.72,0.57,2.87,1288.19,0,16.64,2.87,0,6.31,0,0,0.57,0,265.67,0,0,0,0,0.57
 60-70,0,0,3.93,0,12.76,0,0,375.92,0.98,0,0,58.89,3.93,0.98,0,0,0,0,1.96,0,0.98,10.8,0.98,0.98,2.94,1311.31,0,20.61,3.93,0,2.94,0,0,0,0.98,201.21,1.96,0,0,0,0.98
 72-82,0,0,3.93,0,27.49,1.96,0,332.78,0,0,0.98,83.44,6.87,0,0,0.98,0.98,0,1.96,0.98,0.98,19.63,0.98,0.98,6.87,1132.84,0,48.1,8.83,0,0.98,0.98,0,0,0,98.17,10.8,0.98,1.96,0,0
 84-94,0,0,6.37,0,29.74,0,0,182.67,0,1.06,0,54.16,11.68,0,0,0,1.06,0,2.12,0,1.06,11.68,1.06,2.12,1.06,573.5,0,31.86,15.93,0,11.68,0,0,1.06,0,50.98,28.68,1.06,0,1.06,2.12
 96-106,0,0,2.19,0,30.6,1.09,0,134.42,0,1.09,1.09,62.29,13.11,0,1.09,2.19,2.19,1.09,7.65,2.19,0,20.76,1.09,2.19,1.09,456.81,0,46.99,17.49,0,10.93,3.28,0,0,1.09,36.06,51.36,0,2.19,1.09,0
108-118,0,0,3.83,0,17.62,0,0.77,108.77,0,0.77,0,38.3,8.43,0,0,0.77,0,1.53,3.83,1.53,0,19.92,0,1.53,0,509.37,0,26.04,12.26,0,5.36,0,0,2.3,0,20.68,47.49,0.77,0.77,1.53,0
120,0,0,3.92,0,21.56,0,0,96.03,0,0,0,54.87,9.8,0,0,3.92,0,0,13.72,1.96,0,5.88,0,1.96,3.92,533.06,0,23.52,9.8,0,1.96,0,0,1.96,0,21.56,5.88,0,1.96,0,1.96
