stage,axial,blastomeres,epidermis,eye,glial,gut,ionocyte,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,periderm,pronephros,spinal.cord,vasculature
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,6.57,0,0,0,2.46,0.82
 36-46,0,0,0,1.61,0.81,0,0,0,0,0,0,11.28,0,0,0,2.42,0
 48-58,0,0,0,5.74,1.15,0,0,0,1.72,0,0,18.94,0,0.57,0,1.15,0
 60-70,0,0,0,7.85,0.98,0,0,0,0.98,0,0.98,7.85,0,0,0,0,0
 72-82,0,0,0,2.94,1.96,0,0,0,1.96,0.98,0,15.71,0.98,0,0,1.96,1.96
 84-94,0,0,0,2.12,1.06,1.06,0,1.06,2.12,0,0,6.37,0,1.06,0,1.06,0
 96-106,0,0,0,1.09,0,0,1.09,0,2.19,0,0,5.46,1.09,0,0,0,3.28
108-118,0,0,0,2.3,0,0,0,0,0,0,0,0.77,0,0.77,0.77,0,0
120,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0
