stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,6.29,0,0,0,0,0,0,0,0
 14-21,0,16,3,0,0,0,0,0,4,1,0,1,0,1,0,0,0,0,1,0,0,0,34,2,1,0,0,4,1,0,0,3,17,0,0,0,0,1
 24-34,0,8.21,0,0,0.82,0,0,0,1.64,0,0,0,0,0,0,0,0,0.82,6.57,0.82,0,4.1,70.59,2.46,1.64,0.82,0,4.1,0,0,1.64,0,23.8,0,0,0.82,0,0
 36-46,0,11.28,0,0,14.5,0,1.61,0.81,6.45,0,0,0,0.81,0,0,0,0.81,0,8.06,0.81,0,3.22,77.34,0,0.81,0,0,8.06,0,0,4.03,0,23.36,0,0,0,0,0
 48-58,0,10.33,0,0,20.08,1.15,2.3,0.57,5.74,0,1.15,0,0,0,0.57,0,1.15,0.57,15.49,1.15,0,4.02,62.54,1.15,0,0.57,0,5.74,0,0,8.03,0,25.25,0,0.57,1.15,0,0.57
 60-70,0,6.87,0.98,0,17.67,0,3.93,0,4.91,0,0,0,1.96,0,0,0,0,0,13.74,0.98,0.98,1.96,50.06,0.98,0,1.96,0,6.87,0,0,5.89,0,9.82,0.98,0,1.96,0.98,0.98
 72-82,0,8.83,0.98,0,44.17,0.98,1.96,2.94,31.41,0,0.98,0,0.98,0,0,0.98,0,0,38.28,0.98,0,1.96,118.78,0.98,0.98,1.96,0,1.96,0,0,3.93,0,9.82,0,0.98,6.87,0.98,0
 84-94,0,14.87,2.12,0,37.17,1.06,2.12,0,18.05,2.12,0,0,2.12,1.06,0,0,0,3.19,29.74,3.19,0,2.12,46.73,1.06,0,1.06,0,12.74,0,0,2.12,0,8.5,0,1.06,1.06,0,0
 96-106,0,16.39,3.28,1.09,32.79,1.09,4.37,0,14.21,2.19,0,3.28,4.37,4.37,4.37,0,1.09,1.09,36.06,2.19,0,3.28,53.55,0,2.19,3.28,0,10.93,0,1.09,1.09,0,10.93,0,0,4.37,0,1.09
108-118,1.53,17.62,2.3,18.38,26.81,0.77,8.43,2.3,29.87,2.3,0,0,0.77,1.53,9.19,0,2.3,0.77,19.15,0.77,0.77,2.3,68.94,2.3,1.53,3.83,1.53,7.66,0,0.77,1.53,0,3.06,0.77,1.53,0.77,0.77,0.77
120,0,29.4,5.88,1.96,29.4,0,11.76,1.96,13.72,1.96,0,0,1.96,0,7.84,5.88,1.96,0,7.84,0,0,1.96,84.27,0,0,0,0,5.88,0,1.96,1.96,0,7.84,0,0,3.92,0,0
