stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,5,9,0,0,0,0,0,0
 24-34,0,0,1.64,0,0,0,4.1,22.98,0,0,0,0,0.82,0,0,0,0,0,0,6.57,0,0,4.1,11.49,0,0,0,0,0,0.82,0,0,25.45,28.73,4.1,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,3.22,94.26,0,0.81,1.61,0,0.81,0,0,0,0,0,0,11.28,0,0,12.89,28.2,0,0,0,0,0,2.42,0,0,49.15,10.47,7.25,0,0,0,0,0
 48-58,0,0,0,3.44,0.57,0,21.8,161.81,0,1.72,4.59,0,1.15,0,0,0,1.15,0,1.72,28.12,0,0,21.23,66.56,1.15,0,0,0,0,1.72,0,0,49.35,0,13.77,0,0,2.3,0,2.3
 60-70,0,0,0,0,0,0,21.59,124.65,0,1.96,7.85,0.98,0,1.96,0.98,0,0,0,0,30.43,0,0,22.58,49.08,0,0,0,0,0,0.98,0,0,45.15,0,9.82,0,0,0.98,0.98,0.98
 72-82,0,0,0,3.93,1.96,0,57.92,120.74,0.98,2.94,10.8,0,2.94,1.96,0,1.96,0,0,0.98,57.92,0,0.98,20.61,80.5,0,1.96,0.98,0,0.98,2.94,0,0,30.43,0,7.85,0,0.98,3.93,1.96,2.94
 84-94,0,1.06,0,4.25,7.43,0,43.54,232.59,1.06,5.31,13.81,2.12,2.12,5.31,3.19,0,0,0,3.19,59.47,0,3.19,23.36,52.04,0,1.06,1.06,0,0,12.74,0,1.06,42.48,0,5.31,0,1.06,5.31,2.12,3.19
 96-106,0,3.28,0,18.58,22.95,2.19,96.17,355.18,4.37,5.46,36.06,7.65,1.09,8.74,1.09,0,3.28,5.46,0,89.61,3.28,5.46,27.32,145.35,1.09,2.19,3.28,1.09,1.09,32.79,0,0,41.53,0,2.19,2.19,4.37,7.65,4.37,5.46
108-118,0,0,0,9.96,6.13,3.83,37.53,304.85,4.6,1.53,16.85,3.06,2.3,6.89,1.53,5.36,2.3,3.83,2.3,56.68,1.53,0.77,29.11,90.38,0.77,0.77,1.53,0,1.53,8.43,0,0.77,33.7,0,3.06,0,0.77,3.06,6.13,5.36
120,0,0,0,9.8,7.84,0,21.56,172.46,0,0,19.6,3.92,0,3.92,0,0,0,5.88,0,45.08,0,0,29.4,62.71,0,0,0,0,0,9.8,0,1.96,11.76,0,3.92,0,1.96,7.84,3.92,1.96
