stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,23.66,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,40.91,0,0,44.06,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,13,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,12,15,1,0,1,0,0,1,0,1,23,0,0,0,0
 24-34,0,0,0,26.27,0,2.46,1.64,0,0,0,0,0,0,0,0,1.64,0,0,0.82,94.4,0.82,0,0,0,2.46,0,0,0,1.64,96.04,0,0,0.82,0.82
 36-46,0,0,0,1.61,0,9.67,0.81,0.81,1.61,0,0,0,0,0,0,0.81,0,0,1.61,237.67,0,0.81,0.81,0,0,0,0,0,0,180.47,0,0,0,0
 48-58,0,0,0,3.44,0,20.08,0,0,8.03,0,0,0,0,0.57,0,1.15,0,0,1.15,294.36,0,0,0,0,0,0,0,0,0,145.17,0,0,0.57,0
 60-70,0,0,0,2.94,0,68.71,0,0.98,18.65,0,0,0.98,0,0,0,5.89,0,0,0,740.07,0,0,0.98,0,0.98,0,0,0,0,192.38,0,0,0,0
 72-82,0,0,0,11.78,2.94,82.46,0,0.98,17.67,0,0.98,0,0,0,0,10.8,0.98,0,0,706.8,0,0,0,0,0,0,0,0,0,114.85,0.98,0.98,0,0
 84-94,0,0,0,11.68,1.06,50.98,0,1.06,9.56,0,0,0,0,0,0,6.37,0,0,0,322.86,0,0,0,0,2.12,0,0,0,0,56.29,0,1.06,0,0
 96-106,0,0,0,10.93,0,46.99,1.09,0,16.39,1.09,0,0,0,0,2.19,7.65,0,1.09,0,331.13,0,1.09,0,0,0,1.09,0,0,0,22.95,1.09,1.09,0,0
108-118,0,0,0,3.83,0,38.3,0.77,0.77,5.36,0,0,0,0.77,0,0,8.43,0,0,0,340.85,0,0.77,0,0,0.77,0,0,0,0,22.98,0,0,0,0
120,0,0,0,1.96,1.96,33.32,1.96,0,9.8,0,0,0,1.96,0,0,5.88,0,0,3.92,384.12,0,0,0,0,0,0,0,0,0,23.52,0,0,0,0
