stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,448.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,12.26,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,6.29,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,4,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,2,43,3,0,0,0,0,4,1,4,0,5,7,0,0,0,0
 24-34,0,0,0,0,4.1,0.82,0,6.57,0,0,0,0.82,0.82,0.82,1.64,0.82,0.82,0,0,0,0,7.39,0,0,4.1,74.7,1.64,1.64,0.82,0.82,0,15.6,0,0,0,0.82,25.45,0,0,2.46,0.82
 36-46,0,0,0,0,1.61,0,0,8.86,0.81,0.81,1.61,2.42,0,0,0,0,0,0.81,0,0,0.81,23.36,0,0,4.83,78.15,2.42,0.81,0,0,0,10.47,0,0,0,0,19.34,0,0,2.42,2.42
 48-58,0,0,0,0,2.87,0,0,21.23,0,0,0.57,5.74,0,0,0.57,0.57,0,0.57,0,0.57,0.57,24.1,0,0.57,4.02,113.04,0,0,0,0,0.57,9.18,0,0,0.57,0,39.02,0,0,2.3,1.15
 60-70,0,0,0.98,0,1.96,0,0,16.69,0.98,0,1.96,3.93,0.98,0,0.98,0,0,0.98,0,0.98,0.98,20.61,0,0,2.94,84.41,2.94,0,0.98,0,0,5.89,0,0,0,0,23.56,0,0,2.94,0.98
 72-82,0,0,0,0,0.98,0.98,0,46.14,0,0,1.96,24.54,2.94,0,0,1.96,1.96,0.98,0.98,0.98,0,32.39,0,0.98,5.89,96.2,0,0.98,0.98,0,0,4.91,0,0,0,0,7.85,0.98,1.96,3.93,0.98
 84-94,0,0,1.06,0,6.37,0,1.06,18.05,0,1.06,1.06,9.56,2.12,0,0,5.31,0,1.06,0,1.06,0,30.8,0,3.19,3.19,40.36,0,1.06,2.12,0,1.06,12.74,0,0,2.12,0,9.56,0,2.12,2.12,1.06
 96-106,0,0,0,0,13.11,0,1.09,27.32,1.09,0,1.09,12.02,5.46,0,2.19,1.09,6.56,2.19,0,3.28,0,18.58,1.09,1.09,4.37,48.09,2.19,3.28,6.56,0,0,14.21,0,0,0,0,3.28,2.19,0,3.28,2.19
108-118,0,0,0,0,12.26,1.53,0.77,22.98,0,3.83,0,12.26,5.36,0,0,3.83,2.3,5.36,1.53,6.13,1.53,19.92,0,0.77,0,46.72,2.3,2.3,4.6,0,0.77,9.19,0,0,3.06,0,3.06,0,0,2.3,3.06
120,0,0,1.96,0,5.88,3.92,0,31.36,0,0,0,9.8,3.92,0,0,0,1.96,0,0,3.92,0,13.72,1.96,0,0,56.83,0,1.96,0,0,0,11.76,0,0,3.92,0,0,0,1.96,3.92,1.96
