stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,1014.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,30.65,410.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,34.17,2.63,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,1,1,0,0,1,0,0
 24-34,0,0,0.82,2.46,0,0,0,0,0,0,1.64,0,0.82,2.46,2.46,0,0,1.64,7.39,0,0,0,0,0,0,0,0.82,0,1.64,0,0
 36-46,0,0,0,0.81,0,2.42,0,0.81,0,0,2.42,0,0,0,0,0,0,0,7.25,0,0.81,0,0,0,0,0,4.03,0,0.81,0,0
 48-58,0,0,0,0,0,4.02,0.57,0.57,0,0.57,6.31,0,0,0,1.15,0,0,0,6.89,0,0,0,0,0.57,0,0,4.02,0,1.15,0,0.57
 60-70,0,0,0,0.98,0,4.91,0,0,0,0,8.83,0,0,1.96,6.87,0,0,0,1.96,0,0,0,0.98,0.98,0,0,1.96,0,2.94,0,2.94
 72-82,0,0,0,0.98,0,8.83,0,3.93,0,0,7.85,0,0,0,5.89,0,0.98,0,7.85,0,0,0,0,5.89,0,0,0.98,0,7.85,0,0
 84-94,0,0,0,2.12,0,6.37,0,2.12,0,2.12,14.87,0,0,0,5.31,0,0,0,6.37,0,0,0,0,31.86,0,0,0,0,3.19,1.06,1.06
 96-106,0,0,0,5.46,0,3.28,2.19,2.19,0,0,13.11,0,0,1.09,3.28,0,4.37,1.09,5.46,0,0,0,1.09,42.62,0,0,1.09,0,3.28,0,1.09
108-118,0,0,0,4.6,0.77,0.77,3.83,6.89,0,2.3,15.32,2.3,0,0,6.89,0.77,1.53,0.77,4.6,0.77,0,0,0,23.74,0,0,0.77,0.77,8.43,0.77,1.53
120,0,0,0,3.92,0,0,0,0,0,1.96,9.8,0,0,0,3.92,0,0,0,3.92,0,0,0,1.96,43.12,0,0,0,0,1.96,0,0
