stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,39.53,1106.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,125,0,3,1,0,2,0,1,0,1,158,6,0,0,0
 24-34,0,0,0,0.82,0,0,4.1,1.64,0,0,0,0,0,0,0,0,0,2.46,1.64,0,1.64,0.82,0,12.31,37.76,7.39,1.64,9.03,0,0,0.82,0,0,1.64,0,57.46,4.93,0,0,0
 36-46,0,0,0,0,0,0,2.42,6.45,0,0,0.81,0,0,0,0,0,0,0,0,0.81,3.22,0,0,4.83,18.53,5.64,0,4.03,0,0,0,0,0,0,0,0,2.42,0,0.81,0
 48-58,0,0,0,0,0.57,0,2.87,6.89,0.57,0.57,2.87,0,0,0.57,0,0.57,0,3.44,0,0,6.31,0,0,0.57,17.21,2.87,0,6.89,0,0,0,0,0,0,1.15,0,4.59,0,0,0.57
 60-70,0,0,0,0.98,0,0,9.82,1.96,0.98,0,13.74,0.98,0,0,0.98,0,0.98,6.87,0,0,19.63,0,0.98,1.96,24.54,3.93,0,13.74,0,0,0,0,0,0,1.96,0,1.96,0.98,0,1.96
 72-82,0,0,0,0.98,0,0,24.54,2.94,0,0,58.9,0.98,0,0,2.94,0,0,20.61,0,0,82.46,0,0,0.98,33.38,0,0,39.27,0,0.98,0,0,0,0,0.98,0,0,0,1.96,0
 84-94,0,0,0,1.06,0,0,14.87,3.19,0,0,39.3,2.12,0,0,0,0,1.06,21.24,0,0,43.54,0,0,3.19,12.74,1.06,0,52.04,0,0,0,0,0,1.06,0,0,2.12,1.06,1.06,0
 96-106,0,0,0,4.37,0,0,16.39,4.37,0,0,69.94,0,0,0,10.93,0,1.09,44.81,0,0,41.53,0,1.09,1.09,19.67,0,0,76.5,0,0,2.19,0,0,1.09,1.09,0,0,4.37,3.28,0
108-118,0,0,0.77,3.06,0.77,0.77,17.62,4.6,2.3,0.77,51.32,3.06,0,0,9.96,0.77,0.77,35.23,1.53,0,25.28,0,0,3.06,24.51,3.06,0,49.79,0,0.77,0.77,0,0,0,0.77,0,0,0,1.53,0
120,1.96,0,0,5.88,0,0,15.68,13.72,0,0,31.36,3.92,0,0,11.76,0,0,25.48,0,0,35.28,0,0,3.92,29.4,3.92,0,48.99,0,1.96,0,0,0,1.96,0,0,0,0,1.96,0
