stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,52.71,2161.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0
  5-6,18.39,361.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,36.78,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,7.89,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,99.89,5.26,0,0,49.95,0,2.63,2.63,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,6.29,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,210.85,3.15,0,0,31.47,0,3.15,0,0,3.15,0,3.15,0,0,0
 14-21,0,0,0,7,46,7,0,28,1,0,7,2,0,0,0,0,0,9,20,0,12,353,2,7,3,5,0,1,0,5,1,8,113,0,2,0
 24-34,0,0,0.82,0.82,10.67,0,0,31.19,0,0,2.46,0.82,0,0,0,0,0.82,9.03,29.55,0,5.75,303.72,0.82,3.28,5.75,0,0,2.46,0,0,0.82,1.64,57.46,0,1.64,0.82
 36-46,0,0,0,0,1.61,0,0,33.84,0,0,8.06,0,0.81,0,0,0,0,2.42,20.95,0.81,6.45,198.19,0,2.42,4.83,0,0,0,0,0,0,0,37.87,0,0,0
 48-58,0,0,0,0,0,0,0,28.12,0,0.57,12.05,0,0,0,0,0,0,2.3,16.07,0.57,1.15,47.63,0,0,0,0,0.57,0.57,0,0,0,0,9.75,0,0.57,0
 60-70,0,0,0,0,0,0,0,19.63,0,0.98,14.72,0.98,0,0,0,0.98,0,3.93,11.78,0,0,51.04,0,0,0,0,0.98,0.98,0,0,0,0,3.93,0,0.98,0.98
 72-82,0,0,0.98,0,1.96,0.98,0,11.78,0,0.98,5.89,0,0,0,0,0,0,4.91,7.85,0.98,1.96,25.52,0,0,1.96,0,0,0,0,0,0,0,1.96,0.98,1.96,0
 84-94,0,0,1.06,0,5.31,1.06,1.06,10.62,0,0,2.12,1.06,0,1.06,0,0,0,10.62,7.43,0,1.06,28.68,0,0,4.25,0,0,3.19,0,0,0,0,2.12,0,3.19,0
 96-106,0,0,0,0,0,0,0,5.46,0,0,3.28,0,0,0,2.19,1.09,1.09,10.93,7.65,1.09,1.09,22.95,0,1.09,1.09,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,5.36,0,0,3.06,0,0,2.3,0.77,0,0,13.02,9.96,1.53,0,19.92,0,0,0,0,0,0.77,0.77,0,0,0,0,0,0.77,0
120,0,0,0,0,0,0,1.96,11.76,0,1.96,3.92,0,0,0,0,0,0,9.8,7.84,0,0,15.68,0,0,1.96,0,0,5.88,0,0,0,0,0,1.96,0,0
