stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,heart,immune,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,visceral_smooth_muscle,xanthophores
  7-9,26.29,10.51,0,0,13.14,0,0,0,0,0,0,0,0,549.4,0,0,13.14,0,0,0,0,0,0,0
 10-12,40.91,3.15,0,6.29,22.03,0,3.15,0,0,0,0,0,0,1117.17,0,0,22.03,0,0,6.29,0,0,0,0
 14-21,0,0,10,1,15,3,0,0,0,0,0,8,1,741,0,0,0,0,4,0,1,40,0,0
 24-34,0,0,1.64,0.82,67.31,18.06,0,0,0,0.82,0,3.28,1.64,430.13,0.82,0.82,0,0,0,0,0,51.71,0,0.82
 36-46,0,0,0,0,20.95,11.28,0,0,0,0,0,3.22,0,230.42,0,0,0,0,0,0.81,0,49.95,0,0
 48-58,0,0,0.57,0,16.07,18.94,0,0,0,0,0,0.57,0,145.75,0,0,0,0,0,0.57,0,21.8,0,0.57
 60-70,0,0,0,0,20.61,25.52,0,0.98,0,0,0,2.94,0,81.47,0,0,0,0.98,0,0.98,0,7.85,0,0.98
 72-82,0,0,0.98,0,13.74,37.3,0,0,0,0,0.98,0.98,0,63.81,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,2.12,0,22.3,27.61,0,0,0,0,0,1.06,0,47.79,0,0,0,0,0,1.06,0,7.43,0,0
 96-106,0,0,0,0,7.65,24.04,0,0,0,0,0,2.19,0,33.88,0,0,0,0,0,2.19,0,4.37,0,0
108-118,0,0,0.77,0,4.6,25.28,0,0,0.77,0,0.77,1.53,0,40.6,0,0,0,0,0,0.77,0,2.3,0.77,0
120,0,0,1.96,1.96,7.84,29.4,0,0,0,0,0,0,0,29.4,0,0,0,0,0,1.96,0,5.88,0,0
