stage,axial,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,slow.muscle,spinal.cord,taste,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,4,0,0,0
 24-34,0,0,0,0.82,0,0,0.82,0,0,0,0.82,0,0,29.55,0,0,0,0,0,1.64,0,0,0
 36-46,0,0,0,1.61,0,0,0,0,0,0,2.42,0,0,40.28,0,0.81,0,0.81,0,3.22,0,0.81,0
 48-58,0,0,0,5.16,0.57,0,2.3,0.57,0,0,2.3,0,0,59.68,0,0,0,0,0,13.2,0,0.57,0.57
 60-70,0,0,0,14.72,0,0.98,2.94,0,0,0,0.98,0,0,61.84,0,0.98,0,0,0.98,9.82,0,0,0
 72-82,0,0.98,0,41.23,0,0,9.82,2.94,0.98,0,7.85,0,0,107.98,0.98,0,0,0.98,0,7.85,0,0.98,0
 84-94,0,2.12,0,22.3,0,0,3.19,0,0,0,5.31,1.06,0,52.04,0,0,0,0,0,0,1.06,1.06,1.06
 96-106,0,1.09,0,31.69,0,0,5.46,0,0,0,3.28,0,0,61.2,0,0,0,0,0,2.19,0,1.09,0
108-118,0,0.77,0,36,0,0,3.06,0,0,0.77,3.83,0,1.53,64.34,0,0,0.77,0,0,0.77,0,0.77,0
120,0,0,0,17.64,0,3.92,5.88,1.96,0,0,1.96,0,1.96,94.07,0,0,0,0,0,1.96,0,0,0
