stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,9,8,0,0,0,4,1,5,0,0,0,0,0,16,0,0,20,105,1,0,0,1,0,0,1,0,0,12,18,0,0,0,0,0
 24-34,0,0,0,12.31,0.82,7.39,0,2.46,9.03,0,0,0.82,0,0,0,0,86.19,0.82,0,44.33,263.49,0,0,2.46,0,0.82,0.82,0,0.82,0,0.82,29.55,0,0,0,0,0
 36-46,0,0,0,4.83,0,7.25,0.81,2.42,35.45,0,1.61,0,0,0,0,0,112.79,0,0,28.2,140.19,0,0,0,0,0,0.81,0.81,0,0,0,34.64,0,0.81,0,0,0
 48-58,0,0,0,1.15,0,10.33,0,2.3,88.37,0,2.3,0,0,0,0,0,135.42,0,0,18.36,98.12,0.57,0,0.57,0,1.15,0,0,1.15,0,0,21.23,0,1.15,0.57,0,0
 60-70,0,0,0,0,0,20.61,0,4.91,145.27,0,0.98,0,0,0,0,0,167.84,0,5.89,24.54,76.56,0,0,0,0,0.98,0,0,0,0,0,12.76,0,4.91,0,1.96,0
 72-82,0,2.94,0,4.91,1.96,27.49,0,6.87,149.21,0,3.93,0,0,0,0.98,0.98,313.15,0,8.83,28.47,69.7,0,0.98,3.93,0,0.98,0.98,0,1.96,0.98,0,13.74,0.98,5.89,0.98,4.91,0.98
 84-94,0,0,0,4.25,0,38.23,0,4.25,91.34,0,2.12,0,0,0,0,0,189.04,0,5.31,18.05,47.79,0,0,0,0,0,2.12,0,0,0,0,10.62,0,5.31,0,6.37,0
 96-106,0,0,0,2.19,0,38.25,0,3.28,89.61,0,4.37,0,0,1.09,2.19,0,178.13,0,4.37,13.11,56.83,0,0,2.19,0,2.19,2.19,0,0,0,0,5.46,0,6.56,0,6.56,0
108-118,0,0,0,3.06,0,41.36,0,6.13,70.47,0,2.3,0,0.77,0,0,0,200.68,0,3.83,13.79,42.13,0,0,0.77,0,0,0,0,0.77,0,0,4.6,0,2.3,0,4.6,0
120,0,0,0,7.84,3.92,23.52,0,5.88,48.99,0,1.96,0,0,0,0,0,148.94,0,1.96,3.92,48.99,0,0,0,0,0,0,0,0,0,0,5.88,0,3.92,0,7.84,0
