stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,288.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,13.14,0,0,18.4,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,123.55,18.4,0,0,65.72,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.17,12.59,0,0,62.94,0,0,0,6.29,0,0,3.15,0,0,0,0,0
 14-21,1,0,0,1,96,7,3,1,0,4,3,1,1,3,0,0,0,0,0,14,0,0,6,67,2,0,1,1,0,5,13,1,1,12,26,0,0,4,0,0
 24-34,0,0,0.82,0.82,36.94,0,16.42,3.28,1.64,5.75,2.46,0,1.64,3.28,1.64,0,3.28,1.64,1.64,23.8,0,0,9.85,157.6,0,2.46,1.64,0,0,10.67,0,0.82,0,1.64,39.4,0,0,14.78,0,3.28
 36-46,0,0,0,0,22.56,0,37.87,2.42,0.81,9.67,1.61,0,0,4.83,0.81,0,0,0,0.81,26.59,0,0.81,12.09,186.11,1.61,1.61,0.81,0,0,10.47,0,1.61,0,0,36.26,0,0,8.86,0,4.83
 48-58,0,0,0,0,12.62,0,45.33,8.03,1.15,12.62,0,0,0,7.46,0,0.57,0.57,0,1.15,29.84,1.15,0.57,7.46,149.76,0,0,0.57,0,0.57,8.61,0,0.57,0,0,29.84,0,0,1.72,0,2.87
 60-70,0,0,0,0,16.69,0,83.43,5.89,2.94,18.65,0,0,0,12.76,0.98,0,0,0,0,53.98,0,0.98,1.96,148.21,0,0,1.96,0,0,21.59,0,0,0,0,21.59,0,1.96,2.94,0.98,0.98
 72-82,0,0,1.96,0,16.69,2.94,62.83,6.87,0.98,15.71,3.93,0,1.96,12.76,0.98,2.94,3.93,0.98,0,54.97,0.98,1.96,5.89,99.15,0.98,3.93,4.91,0,0,5.89,0,0,0,0,7.85,0.98,1.96,3.93,1.96,0.98
 84-94,0,0,1.06,0,36.11,4.25,49.92,10.62,1.06,14.87,8.5,0,0,21.24,5.31,1.06,2.12,2.12,1.06,44.61,3.19,3.19,6.37,62.66,0,0,1.06,0,1.06,37.17,0,1.06,0,0,3.19,0,1.06,13.81,2.12,1.06
 96-106,0,0,1.09,0,34.97,4.37,27.32,7.65,3.28,6.56,7.65,0,3.28,34.97,3.28,1.09,4.37,1.09,1.09,38.25,2.19,2.19,0,52.46,0,0,1.09,0,0,16.39,0,1.09,0,0,2.19,0,1.09,5.46,5.46,1.09
108-118,0,0,0.77,0,45.96,7.66,13.02,20.68,0.77,6.13,3.83,0,0.77,33.7,2.3,2.3,0.77,3.06,0.77,25.28,1.53,1.53,4.6,40.6,1.53,0.77,2.3,0,0,16.09,0,0,0,0,1.53,1.53,0,0.77,2.3,3.06
120,0,0,0,0,35.28,5.88,7.84,9.8,0,5.88,5.88,0,1.96,23.52,0,0,1.96,0,0,19.6,0,1.96,0,33.32,1.96,1.96,0,0,0,33.32,0,0,0,0,0,0,0,5.88,0,0
