stage,axial,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,52,134,0,0,0,0,0,0
 24-34,0,0.82,1.64,0,3.28,162.53,0,0,0.82,0,0,0,0,0,0,0,0.82,0.82,3.28,0,0,17.24,45.15,0,0,0.82,0,0,0.82,42.68,185.51,9.03,0,0,4.1,0,0
 36-46,0,0,0.81,0,4.83,291.65,0,0,0.81,0,0,0,0,0,0,0,0.81,0,5.64,0.81,0,13.7,44.31,0,0.81,0.81,0,0,1.61,23.36,12.89,8.86,0,0,0,0,0
 48-58,0,0,0.57,0,24.67,274.28,0,0.57,2.87,0,0,0,0,0,0,0,0,0.57,8.03,0,0.57,7.46,44.76,1.15,0.57,0,0,0,0.57,10.33,0,8.03,0,0,0,0,1.15
 60-70,0,0,0,0,18.65,214.95,0,0,1.96,0,0.98,0,0,0,1.96,0,0,0.98,13.74,0,0.98,9.82,28.46,0.98,0,0,0.98,0,1.96,4.91,0,4.91,0,0,0,0,0.98
 72-82,0,0,1.96,0.98,13.74,170.81,0,0,3.93,0,0,1.96,1.96,0,0,0,0,0.98,9.82,0,0,10.8,33.38,0,0,0.98,0,0,1.96,3.93,0,3.93,0,0,1.96,2.94,0
 84-94,0,0,1.06,4.25,7.43,287.81,1.06,0,5.31,0,0,0,1.06,1.06,0,0,0,1.06,11.68,0,2.12,6.37,26.55,0,2.12,0,0,0,8.5,8.5,0,1.06,0,2.12,0,4.25,0
 96-106,0,2.19,6.56,6.56,39.34,515.82,0,1.09,7.65,3.28,0,0,3.28,0,0,1.09,3.28,0,28.41,1.09,0,18.58,50.27,1.09,2.19,5.46,0,1.09,13.11,9.84,0,1.09,1.09,4.37,1.09,14.21,1.09
108-118,0,0,3.06,2.3,12.26,356.94,1.53,0.77,6.89,0.77,0,0,0.77,0,0.77,0,2.3,0,18.38,1.53,1.53,26.81,39.06,0,0,0,0,0,6.13,13.02,0,2.3,0.77,3.83,0.77,3.06,1.53
120,0,0,5.88,1.96,7.84,180.3,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,21.56,21.56,0,0,1.96,0,0,3.92,5.88,0,0,0,3.92,0,11.76,0
