stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,65.89,1146.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,306.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,7.89,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,44.69,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,18.88,0,0,0,6.29,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,11,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,0,1,8,4,0,0,0,0,1,0,4,0,0,3,7,0,0,0,0
 24-34,0,0,0,0,2.46,0,0,4.1,1.64,0,0,0,0,0.82,4.1,0,0,0,4.93,0,7.39,0,0,2.46,29.55,7.39,1.64,0.82,0,0,8.21,0,0,0,0,1.64,11.49,0,0,5.75,0
 36-46,0,0,0,0,0.81,0,0,16.92,3.22,3.22,8.06,0,0,0,4.03,0,0,0,0.81,1.61,5.64,0,0.81,2.42,71.7,3.22,4.03,0,0,0,8.86,0,0,0,0,0,23.36,0,0,3.22,0
 48-58,0,0,0,0.57,0,0,0,37.3,5.16,3.44,36.15,0.57,0,0.57,2.87,0,0.57,1.72,1.15,4.02,9.18,1.15,0.57,2.87,113.04,1.72,1.72,0,0,0,5.74,0,0,0,0.57,0,29.84,0,0,2.87,0
 60-70,0,0,0,0,1.96,0.98,0,84.41,8.83,11.78,49.08,0,0,0,4.91,0,0.98,0,0,1.96,21.59,1.96,0,1.96,218.88,2.94,0.98,0,0,0.98,10.8,0,0,0,0.98,0,45.15,0,0.98,2.94,0
 72-82,0,0,0,0,6.87,0.98,0,107,5.89,2.94,68.72,2.94,0,0,8.83,1.96,0.98,0,0,1.96,38.28,0.98,0,0.98,213.02,0,1.96,1.96,0,1.96,5.89,0,0,0,0,0,28.47,0.98,1.96,6.87,0
 84-94,0,0,0,0,11.68,1.06,0,56.29,8.5,5.31,40.36,8.5,1.06,0,20.18,1.06,4.25,1.06,0,4.25,20.18,7.43,0,1.06,87.09,0,4.25,1.06,0,1.06,26.55,0,0,0,0,0,13.81,0,0,9.56,0
 96-106,0,0,0,0,9.84,1.09,1.09,43.71,7.65,2.19,34.97,6.56,0,0,12.02,0,5.46,3.28,2.19,5.46,55.74,3.28,1.09,1.09,78.68,2.19,1.09,1.09,0,0,13.11,0,0,0,0,0,7.65,1.09,0,4.37,0
108-118,0,0,0.77,0.77,2.3,3.06,0.77,52.85,9.96,1.53,34.47,13.02,0,0,9.96,0,4.6,0.77,1.53,3.06,24.51,3.83,0,0,98.04,1.53,0.77,2.3,0,2.3,18.38,0,0,0,0,0,4.6,6.13,2.3,7.66,0
120,0,0,0,0,23.52,3.92,0,33.32,1.96,0,23.52,15.68,0,0,29.4,0,1.96,1.96,0,3.92,33.32,3.92,0,0,101.91,0,1.96,1.96,0,0,13.72,0,0,1.96,0,0,13.72,3.92,0,3.92,1.96
