stage,blastomeres,epidermis,eye,glial,hatching_gland,mesenchyme,mucous,muscle,neural,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,31.54,10.51,0,0,0,0
 10-12,6.29,0,3.15,0,6.29,0,0,0,50.35,31.47,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,1,0
 24-34,0,0,0,0,0,0,0,0,10.67,0,0,0,0,1.64
 36-46,0,0,0.81,0.81,0,0.81,0,0.81,16.92,0,0,0,0,1.61
 48-58,0,0,1.15,0.57,0,0,0.57,0,13.77,0,0,0,0,2.87
 60-70,0,0,1.96,0,0,0,0,0,5.89,0,0,0,0,0.98
 72-82,0,0,3.93,0.98,0,3.93,0,0,5.89,0,0.98,0,0,1.96
 84-94,0,0,2.12,0,0,0,0,0,3.19,0,0,0,0,0
 96-106,0,2.19,2.19,1.09,0,2.19,0,0,4.37,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,1.53,0,0,0,0,0
120,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
