stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,20,1,4,0,0,0,3,0,0,0,0,0,0,0,12,0,8,50,1,1,0,0,1,0,0,35,0,0,0,0,0
 24-34,0,0,7.39,0,0,0,0,0,2.46,0,0.82,0,0,0,0.82,0.82,12.31,0,4.93,18.06,0,2.46,2.46,0,0,0,0,17.24,0,0,0,0,0
 36-46,0,0,2.42,0,0,0,1.61,2.42,0.81,0,0.81,0,0,0,0,0,10.47,0,3.22,9.67,0,0.81,0.81,0,0,0,0,3.22,0,0,0.81,0,0.81
 48-58,0,0,5.74,0,0,0,1.15,1.15,1.72,0,0,0,0,0,0,0,14.35,0,1.72,12.62,0,0.57,0.57,0,0,0,0.57,1.72,0,0,0,0,0
 60-70,0,0,3.93,0,1.96,0,1.96,0,2.94,0.98,0,0,0.98,0,0,0,12.76,0,1.96,9.82,0,0.98,0,0,0,0,0,1.96,0,0,0,0,0
 72-82,0,0,1.96,0,0.98,0,0,0,1.96,0,0,0,0,0,0,0,13.74,0,1.96,6.87,0,0,0,0,0,0,0,3.93,0,0,1.96,0,0
 84-94,0,0,7.43,0,0,0,1.06,0,1.06,1.06,0,0,0,0,0,0,9.56,0,0,5.31,0,0,3.19,0,0,0,0,0,1.06,0,1.06,0,0
 96-106,0,0,6.56,0,1.09,0,1.09,0,2.19,0,1.09,0,0,1.09,0,0,10.93,0,2.19,1.09,0,3.28,1.09,0,0,0,0,0,0,1.09,2.19,1.09,0
108-118,0,0,2.3,0,0.77,0.77,1.53,0.77,2.3,0,0,0.77,0,0,0,0.77,5.36,0.77,0,6.13,0,2.3,0.77,0,0,0,0,0,0.77,0,0,0,0
120,0,0,3.92,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,9.8,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0
