stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,13.14,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,1,12,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,3.28,0,0,0.82,0,0,0.82,0,0,0,0,0,0,2.46,0,0,51.71,0,4.93,0,0,0,0,0,28.73,0,0,0,0,0
 36-46,0,0,0.81,0,0.81,0,21.75,0,0,1.61,0,0,0,0,0,0,0,0,0.81,5.64,0,0,95.07,0,1.61,0.81,0,0.81,0,0,20.14,0,0,0,0,0
 48-58,0,0,0,0,0,0,81.48,0,0,1.72,0,0,0,0,0,0,0,0.57,0,9.18,0,1.15,99.27,0,1.72,1.15,0,1.15,0,0,17.21,0,0,0.57,0,0
 60-70,0,0,0,0,0.98,0.98,348.44,0,0,5.89,0,0,0,0,0,0,0,0,0.98,9.82,0.98,1.96,217.9,0,1.96,0.98,0,0.98,0,0,19.63,0,0,0.98,0,0.98
 72-82,0,0,0,0,4.91,1.96,520.28,0,0.98,20.61,1.96,0,0,0,0,0,0,0,0,17.67,0.98,1.96,263.09,0,4.91,2.94,0,0.98,0,0,19.63,0,0,0,0,0.98
 84-94,0,0,0,0,5.31,1.06,404.64,1.06,0,10.62,0,0,1.06,0,1.06,0,1.06,0,0,20.18,3.19,1.06,117.89,1.06,4.25,5.31,0,1.06,0,0,9.56,0,0,2.12,1.06,0
 96-106,0,0,0,0,4.37,0,299.44,0,0,12.02,2.19,0,0,1.09,0,0,2.19,1.09,0,16.39,0,1.09,118.03,0,2.19,8.74,0,3.28,0,0,4.37,0,0,0,2.19,0
108-118,0,0,0,0,2.3,0.77,158.55,0,0.77,13.02,3.83,0,0,0,0,0.77,0.77,0,0,9.96,0,0,119.49,0.77,2.3,7.66,0,0,0,0,5.36,0.77,0.77,0,0,0
120,0,0,0,0,3.92,0,158.74,0,0,7.84,0,0,0,1.96,0,0,0,1.96,0,7.84,1.96,1.96,111.71,1.96,3.92,3.92,0,0,0,0,9.8,0,0,1.96,0,0
