stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,10,128,32,0,59,0,0,0,14,6,1,0,0,4,0,1,0,2,71,0,0,50,687,15,6,7,24,0,10,1,84,6,4,144,208,0,0,9,0,1
 24-34,3.28,9.03,42.68,6.57,0,157.6,0,3.28,4.93,24.63,5.75,0.82,3.28,4.1,6.57,2.46,4.93,3.28,1.64,128.05,0.82,0,58.28,1307.62,11.49,14.78,11.49,0,0,33.66,0,0,5.75,1.64,36.12,301.25,0,0,30.37,0,6.57
 36-46,0,1.61,16.92,0,0,289.24,0.81,1.61,4.83,58.81,1.61,0,3.22,0.81,0.81,2.42,3.22,0.81,0.81,123.27,1.61,0.81,42.7,1230.26,2.42,11.28,8.06,0,0.81,20.14,0.81,0.81,2.42,0,0.81,269.9,0,0,12.09,0,3.22
 48-58,0,0,11.48,1.15,0,438.96,1.15,1.72,9.18,82.63,2.3,0,1.72,1.15,0.57,0.57,1.72,1.15,0.57,165.26,1.15,3.44,34.43,1018.5,2.3,5.16,7.46,0,0,11.48,0,0,0,0,0,232.96,0,1.72,9.75,0,4.02
 60-70,1.96,0,16.69,0,0,561.43,1.96,1.96,6.87,81.47,4.91,0,0,6.87,0.98,1.96,0,0.98,0.98,175.69,0.98,6.87,19.63,932.45,2.94,6.87,4.91,0,0,6.87,0,0,0.98,0,0,117.78,0,3.93,12.76,0,4.91
 72-82,3.93,0,23.56,5.89,0,467.27,0.98,1.96,14.72,105.04,10.8,0,3.93,10.8,1.96,3.93,7.85,0,0,214.98,0.98,6.87,22.58,684.22,1.96,7.85,8.83,0,4.91,7.85,0,0,0.98,0.98,0,56.94,2.94,5.89,12.76,5.89,3.93
 84-94,3.19,0,32.92,6.37,1.06,306.93,0,5.31,6.37,64.78,10.62,0,6.37,23.36,5.31,4.25,2.12,1.06,2.12,167.8,3.19,14.87,22.3,377.02,3.19,7.43,10.62,0,0,36.11,0,0,1.06,1.06,0,46.73,3.19,4.25,19.12,2.12,1.06
 96-106,5.46,0,25.14,7.65,2.19,230.59,1.09,1.09,9.84,60.11,13.11,0,2.19,15.3,3.28,5.46,9.84,4.37,1.09,131.14,2.19,7.65,21.86,290.7,2.19,7.65,14.21,0,1.09,27.32,0,0,1.09,0,0,16.39,5.46,4.37,29.51,4.37,5.46
108-118,2.3,0.77,31.4,4.6,0.77,179.24,2.3,8.43,6.89,57.45,6.89,0,0,16.09,3.83,9.96,6.89,3.83,1.53,108,0.77,3.06,19.15,366.13,3.06,9.19,12.26,0,0.77,22.98,0.77,0,1.53,0,0,10.72,6.13,3.83,17.62,0.77,5.36
120,3.92,0,37.24,15.68,0,135.23,1.96,5.88,5.88,54.87,5.88,0,1.96,25.48,3.92,1.96,1.96,1.96,0,62.71,0,3.92,17.64,295.93,9.8,7.84,3.92,0,1.96,21.56,0,0,3.92,1.96,0,21.56,0,3.92,33.32,1.96,1.96
