stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,8,2,0,0,0,0,0,1,3,0,0,0,0
 24-34,0,0,0,1.64,0.82,0,0,0,0,0,0,0,0.82,0.82,1.64,26.27,0,0,0,0,0,1.64,0,6.57,0,1.64,0,0
 36-46,0,1.61,0,3.22,0.81,1.61,0,1.61,0,0,0,0,0.81,1.61,0,23.36,0.81,0,0,0,0,1.61,0,4.83,0,0.81,0,1.61
 48-58,0,0.57,0,4.59,0,0,0,0.57,0,0,0.57,0.57,0,2.3,0,30.99,0.57,0,0.57,0,0,1.15,0,6.31,0,0,0,0
 60-70,0,0.98,0,9.82,0,0.98,0,8.83,0,0,0,0,0,3.93,0,59.87,0.98,0,0.98,0,0,1.96,0,4.91,0,0.98,0,0
 72-82,0,1.96,0,33.38,0,0,0.98,4.91,0,0.98,0,0,0,5.89,0,86.39,0,0,0,0,0,0.98,0,10.8,0,0.98,0,0
 84-94,0,0,0,14.87,0,2.12,0,2.12,1.06,0,0,1.06,0,6.37,0,22.3,0,2.12,0,0,0,1.06,0,4.25,0,1.06,0,0
 96-106,0,1.09,0,9.84,0,2.19,0,6.56,1.09,0,1.09,0,0,2.19,0,15.3,0,1.09,0,0,0,1.09,0,0,0,3.28,0,0
108-118,0,1.53,0,6.89,0,0,0,3.06,0.77,0,0,0,0,1.53,0,29.87,0,1.53,0,0,0,0,0,0.77,0.77,0,0.77,0
120,0,3.92,1.96,19.6,0,0,0,1.96,0,0,1.96,0,1.96,0,0,43.12,0,0,0,0,1.96,0,0,1.96,0,0,0,0
