stage,epidermis,eye,glial,gut,mesenchyme,muscle,neural,periderm,pronephros,slow_muscle,spinal_cord,taste,xanthophores
 14-21,0,0,1,0,0,1,13,0,1,1,6,0,0
 24-34,0,0,1.64,0,0.82,0,1.64,0,0.82,0,1.64,0,0
 36-46,0,0.81,1.61,0,0,0,2.42,0,0,0,0.81,0,0
 48-58,0,0.57,0,0,0,0,1.15,0,0,0,0,0,0
 60-70,0.98,0,0,0,0,0,0.98,0.98,0,0,0,0,0
 72-82,1.96,0.98,0.98,0,1.96,0.98,0.98,0,0,0,0,0,0
 84-94,4.25,2.12,0,0,0,0,0,0,0,0,0,0,0
 96-106,13.11,0,0,0,0,0,0,3.28,0,0,0,0,0
108-118,19.92,0.77,1.53,1.53,0,0,2.3,0.77,0,0,0,0.77,0.77
120,39.2,0,0,0,0,0,3.92,5.88,0,0,0,0,0
