stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,vasculature,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,18.88,0,0,0,0,0,0
 14-21,0,0,0,1,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,38,0,1,0,1,0,2,1,17,4,0
 24-34,0,0,0,0,0,4.1,0,0,0.82,0,0,0,0,0,0,0,2.46,0,0,0,103.43,0,4.1,0,0,4.1,0,0,40.22,3.28,0.82
 36-46,0,0,0,0,0,10.47,0,0,2.42,0,0,0,0,0,0,0,4.83,0,0,0,158.72,0,5.64,0,0,1.61,0,0,45.92,0,0
 48-58,0,0,0,0,0,38.44,0,0,6.89,0,0,0,0,0.57,0,0,5.74,0,0,1.15,232.96,0,6.31,0.57,0,2.3,0,0,49.35,0,0
 60-70,0,0,0,0,0,99.13,0,0.98,13.74,0,0,0,0.98,0,0,0,9.82,0.98,0,0.98,282.68,0.98,3.93,0.98,0,0.98,0,0,48.09,0,0
 72-82,0,0,0.98,0.98,0,146.27,0.98,0,22.58,0,0,0,0,0,0,0,22.58,0,0.98,0,302.35,0,9.82,0.98,0,3.93,0,0,32.39,0.98,0
 84-94,0,0,0,2.12,0,95.58,0,1.06,13.81,0,0,0,1.06,1.06,1.06,0,5.31,0,0,0,154,0,3.19,4.25,0,5.31,0,0,18.05,1.06,0
 96-106,0,0,0,1.09,1.09,76.5,0,1.09,13.11,1.09,0,0,2.19,0,0,1.09,9.84,0,0,1.09,127.86,0,1.09,5.46,0,9.84,0,0,4.37,0,0
108-118,0,0,0,1.53,0.77,65.11,0,0.77,6.13,0.77,0,0.77,0.77,0,0,0,4.6,0,0.77,0.77,161.62,1.53,5.36,3.83,0,16.85,0,0,3.83,0,0
120,0,0,0,0,0,33.32,0,0,7.84,0,0,1.96,0,0,0,0,7.84,0,0,0,107.79,0,1.96,1.96,0,13.72,0,0,7.84,0,0
