stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,16,8,0,4,0,0,0,23,1,0,0,1,0,0,0,0,13,0,10,67,2,3,2,5,0,0,12,16,13,66,0,0,1,0,0
 24-34,0,0,2.46,0,0,9.85,0.82,1.64,0,5.75,0,0,0,0,0,0,0,0,9.03,0,2.46,56.64,0,2.46,1.64,0,0,0.82,0,1.64,0.82,19.7,0,0,0.82,0,0
 36-46,0.81,0,0.81,0,0,7.25,0,0,0.81,4.83,0,0.81,0,0,0,0,0,0,5.64,0,2.42,32.23,0,0.81,0,0,0,4.03,0,0,0,12.09,0,0,1.61,0,1.61
 48-58,0,0,2.3,0,0,26.4,0,1.15,0.57,8.03,0,1.15,0,0,0,0,0,1.15,7.46,0.57,2.3,53.36,0.57,1.72,0.57,0,0,1.15,0,4.59,0,18.36,0,0.57,2.3,0,1.15
 60-70,0,0,2.94,0,0,14.72,0,0,0,4.91,0,0,0,0,0,0,0,0,4.91,0.98,0.98,21.59,0,2.94,0.98,0,0,4.91,0,2.94,0,5.89,0,0,0,0,0
 72-82,0,0,1.96,0.98,0,48.1,0,0,0.98,8.83,0,0.98,0,0,0,0.98,0,1.96,13.74,0,0,44.17,0,3.93,5.89,0,1.96,2.94,0,1.96,0,10.8,0.98,0,1.96,0,0
 84-94,0,0,3.19,0,0,16.99,0,1.06,0,12.74,0,0,1.06,0,0,2.12,0,1.06,18.05,2.12,1.06,30.8,0,3.19,8.5,0,0,12.74,0,0,0,6.37,0,0,0,2.12,0
 96-106,1.09,0,5.46,0,0,14.21,0,0,0,16.39,2.19,1.09,0,0,0,3.28,0,0,18.58,0,1.09,18.58,2.19,5.46,6.56,0,0,5.46,0,3.28,0,4.37,0,1.09,1.09,0,2.19
108-118,0,0,0,0.77,0.77,13.79,0,0.77,0,13.79,0.77,0,2.3,0.77,1.53,1.53,0.77,1.53,9.19,0,1.53,28.34,1.53,4.6,3.83,0,0,0,0,1.53,0,4.6,0,0,0,0,0
120,0,0,9.8,1.96,0,29.4,0,0,0,3.92,0,0,3.92,1.96,0,0,0,0,3.92,0,0,25.48,0,0,1.96,0,1.96,0,0,0,0,5.88,0,0,1.96,0,0
