stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,131.78,1555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,612.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,12.26,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0
 24-34,0,0,0.82,0,0,0.82,0.82,0.82,0.82,0,0,2.46,0,0,0,0,0,2.46,0,0,0.82,69.77,0,2.46,0.82,0,0,0,0,0.82,0,41.86,0,0,2.46,0,0
 36-46,0,0,0,0,0.81,0,2.42,0,0,3.22,0,4.03,0.81,0,0,0,0,0.81,0,0,0.81,209.47,0,5.64,0,0,1.61,0,0,0,0,70.9,0,0,2.42,0,0
 48-58,0,0,0,0,0,0,17.21,0,0.57,10.9,0,2.3,0,0,0,0,0,2.3,0.57,0,0,254.2,1.15,5.74,0,0,0.57,0,0,0,0,80.91,0,0.57,2.3,0,0.57
 60-70,0,0,0.98,0,1.96,0,75.58,0,0,29.45,0,1.96,0,0,0,0,0,2.94,0,0,0,498.61,1.96,4.91,0,0,0,0,0,0.98,0,86.37,0,0,0.98,0.98,0
 72-82,0,0,0,0,2.94,0,148.23,0.98,0,77.55,2.94,1.96,1.96,0,0.98,0.98,0.98,7.85,0,0,1.96,619.43,0,15.71,0,0,1.96,0,0.98,0,0,57.92,0,0,3.93,0.98,0
 84-94,0,0,0,0,4.25,0,91.34,0,1.06,44.61,1.06,2.12,1.06,0,0,0,0,5.31,0,2.12,0,316.49,0,2.12,1.06,0,2.12,0,0,1.06,0,30.8,0,0,3.19,4.25,0
 96-106,0,0,0,0,3.28,2.19,114.75,0,0,65.57,4.37,2.19,0,0,2.19,1.09,0,3.28,0,1.09,1.09,342.06,0,12.02,1.09,0,1.09,0,0,0,0,17.49,0,0,5.46,2.19,0
108-118,0,0,2.3,0.77,3.06,0,81.19,1.53,0,54.38,2.3,3.83,0.77,0.77,0,2.3,0,9.19,0,0.77,0,354.64,0.77,9.19,1.53,0,1.53,0,0.77,1.53,0,13.02,1.53,0,6.89,0,1.53
120,0,0,0,0,11.76,0,70.55,0,0,58.79,3.92,1.96,0,0,0,1.96,0,5.88,0,0,1.96,442.91,0,3.92,0,0,1.96,1.96,0,0,0,13.72,0,0,1.96,0,0
