stage,epidermis,eye,glial,gut,melanocytes,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,spinal.cord
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,2,0,0,0,0,2,1
 24-34,0,0,0,0,0,0,4.93,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,7.25,0,0,0,0.81,0,0
 48-58,0,1.15,0,0,0,0,12.05,0.57,0,0.57,0,0,0
 60-70,0,0.98,0,0,0,0,16.69,0,0,0.98,0,0,0
 72-82,0,3.93,0.98,0.98,0,0,49.08,0,0,0,0,0,0
 84-94,0,2.12,1.06,0,1.06,0,24.43,0,0,0,0,0,0
 96-106,1.09,3.28,1.09,0,0,0,15.3,0,0,0,0,0,0
108-118,0,1.53,1.53,0.77,0,0.77,50.55,0,0,0,0,0,0
120,0,0,0,0,0,0,58.79,0,0,0,0,0,0
