stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,0,1,0,0,0,0,4,0,0,0,0,0,0,0,2,4,0,0,1,3,0,78,156,1,0,0,0,0
 24-34,0,0,0,0,0,2.46,9.03,0,0,0,0,0.82,0,0,0,2.46,0,0,8.21,20.52,0,0,0.82,0,0.82,24.63,76.34,4.1,0,0,0,0
 36-46,0,0,0,0,0,1.61,13.7,0,0,0,0,0,0,0,0.81,0.81,0,0,2.42,19.34,0,0,0.81,0,0,4.03,0.81,5.64,0,0,0,0
 48-58,0,0,0.57,0,0,4.02,9.18,0,1.72,0,0,0,0,0,0,2.87,0,0,1.72,10.33,0.57,0,0.57,0,0,5.16,0,2.87,0,0,0.57,0
 60-70,0,0,0.98,0,0,7.85,11.78,0.98,1.96,0,0,0,0,0,0,2.94,0,0,0,11.78,0,0,0.98,0,0.98,2.94,0,1.96,0,0,0,0.98
 72-82,0,0,0,0,0,5.89,5.89,0,0,0,0,0,0,0,0,0.98,0.98,0,0.98,7.85,0,0,0.98,0,0,2.94,0,0.98,0,0,0,1.96
 84-94,0,1.06,0,0,1.06,3.19,4.25,0,0,0,0,0,0,0,0,3.19,1.06,1.06,6.37,2.12,0,0,1.06,0,0,6.37,0,2.12,1.06,1.06,0,11.68
 96-106,0,0,1.09,1.09,1.09,2.19,6.56,0,1.09,0,0,0,0,0,0,3.28,0,0,1.09,7.65,0,0,1.09,0,0,7.65,0,0,1.09,0,0,13.11
108-118,0,0,0.77,0.77,0.77,1.53,7.66,0,0,0.77,0,0,1.53,0.77,0.77,1.53,0,0,3.06,5.36,0,0,1.53,0,0,6.13,0,0,0.77,0,0,3.83
120,0,0,1.96,0,0,3.92,9.8,0,1.96,0,0,1.96,0,0,0,0,0,0,3.92,3.92,0,0,0,0,0,0,0,0,0,0,0,0
