stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,hatching_gland,immune,lateral_line,liver,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0.82,0.82,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,5.64,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,0.57,0,0,6.31,0,9.18,7.46,0,0,0,0.57,0,0.57,0,1.72
 60-70,0,0,0,0,0.98,0,0,0,0,3.93,0,0,15.7,0.98,36.32,10.8,0,0,0,0,0,0.98,0,3.93
 72-82,0,0,0,0,1.96,0,1.96,0,0,0.98,0,0,21.6,1.96,60.86,19.63,0,0,0,0,0,5.89,0.98,5.89
 84-94,0,0,0,0,2.12,0,1.06,1.06,0,8.5,0,1.06,10.62,6.37,27.61,29.74,0,0,0,0,0,0,0,5.31
 96-106,0,0,3.28,2.19,5.46,1.09,0,0,0,6.56,1.09,0,16.39,0,28.41,17.49,0,0,0,0,0,1.09,0,13.11
108-118,0,0.77,3.06,0,8.43,0,1.53,1.53,0,5.36,0,0.77,13.79,0,29.87,22.98,0,0,0,0,0,0.77,0,7.66
120,0,0,0,0,3.92,0,1.96,0,0,11.76,0,0,11.76,0,66.63,25.48,0,0,0,0,0,0,0,1.96
