stage,epidermis,eye,fin_epithelia,glial,gut,immune,liver,mesenchyme,muscle,neural,notochord,periderm,pronephros,somites,spinal_cord
 10-12,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0
 24-34,0,4.1,0,0,0,0,0,0.82,0.82,0,0,0,0,0,0
 36-46,0,15.31,0,0,0,0,0,1.61,0,0,0,0,0,0,0
 48-58,0,23.53,0,0.57,0,0,0,5.16,0,1.72,0,0,0,0,0.57
 60-70,0,28.46,0.98,0,0,0,0.98,5.89,0,4.91,0,0.98,0.98,0,0
 72-82,0.98,16.69,0,0,0,0,0,2.94,0,2.94,0,0.98,0.98,0,0
 84-94,2.12,30.8,0,0,0,0,0,5.31,0,0,0,0,3.19,0,0
 96-106,6.56,13.11,0,0,2.19,1.09,0,4.37,0,2.19,0,0,6.56,0,0
108-118,7.66,3.06,0,0,0,0.77,0,0.77,0,0.77,0,0.77,3.06,0,0.77
120,5.88,5.88,0,0,0,0,0,3.92,0,1.96,0,0,7.84,0,0
