stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,2,0,1,52,0,0,0,0,0
 24-34,0,1.64,0.82,0,1.64,0,0.82,0,0,0,0,0,0,0,0.82,0,5.75,0,0.82,141.19,0,10.67,0,0,0,0,148.57,0,0,0.82,0,0
 36-46,0,0,0.81,0,8.86,0,0,0,3.22,0,0,0,0,0,0,0,4.83,0,0.81,241.7,0,24.98,0,0,0,0,223.17,0,0,0,0,0
 48-58,0,0,0,0,48.2,0.57,0.57,1.15,5.74,0,0,0,0,0,0,0,13.77,0,1.15,274.85,0.57,15.49,0,0,0.57,0,200.26,0,0,0,0,2.87
 60-70,0,0,2.94,0,101.1,0,0,1.96,6.87,0,0,0,0,0,0,0,5.89,0,0.98,364.14,0,14.72,0.98,0,0.98,0,234.58,0.98,0.98,0,0,0
 72-82,0,0.98,2.94,0.98,125.65,0,0,0.98,13.74,0.98,0,0,0,0.98,0,0.98,8.83,0.98,1.96,373.03,0,31.41,0,0,0.98,0,183.57,3.93,0,0,0.98,0
 84-94,0,0,5.31,0,96.65,0,1.06,0,16.99,1.06,0,0,0,0,0,0,7.43,1.06,0,274.01,0,10.62,1.06,0,1.06,0,99.83,6.37,1.06,2.12,1.06,0
 96-106,0,1.09,2.19,0,77.59,0,0,0,18.58,0,0,1.09,0,0,0,0,2.19,0,1.09,192.34,0,34.97,2.19,0,0,0,43.71,18.58,1.09,0,0,0
108-118,0,0.77,3.06,0,64.34,0,0,0,13.79,0,0,2.3,0,0,0.77,0,3.06,0,0,207.58,0,16.09,0.77,0,4.6,0,37.53,16.85,0,0.77,0,0
120,0,0,3.92,0,47.03,0,0,1.96,21.56,0,1.96,0,1.96,1.96,0,0,9.8,0,0,229.29,0,11.76,1.96,0,0,0,54.87,9.8,0,1.96,1.96,1.96
