stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,ionocyte,liver,mesenchyme,neural,olfactory,otic,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2,0,3,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,4.1,0,4.93,0,0,0,3.28,0,0,0,0
 36-46,0,0,0,3.22,0,0,0,0,1.61,0.81,13.7,0,0,3.22,2.42,0,0,0,0
 48-58,0,0,0,11.48,0,1.15,0,0,1.72,1.72,10.9,0,0,1.72,1.15,0,0,0,0.57
 60-70,0,0,0,11.78,0,0.98,2.94,0,0.98,0.98,6.87,0,0,1.96,0.98,0,0,0,0
 72-82,0,0,0.98,25.52,0.98,0.98,10.8,0,16.69,0.98,20.61,0.98,0,0.98,0.98,0,0,0,0
 84-94,0,0,0,9.56,0,1.06,21.24,1.06,25.49,0,6.37,0,0,5.31,1.06,1.06,0,0,0
 96-106,0,2.19,0,13.11,0,3.28,54.64,0,61.2,4.37,24.04,0,0,1.09,1.09,0,1.09,1.09,0
108-118,0,1.53,0.77,11.49,0,0,42.13,0,105.7,0.77,18.38,0,0.77,3.83,0,0,0,0.77,0
120,0,1.96,0,13.72,0,0,33.32,0,58.79,0,21.56,0,0,0,0,0,0,0,0
