stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,hatching.gland,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,26.36,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,30.65,557.8,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,18.39,12.26,0,0,0,0,0,0
  7-9,15.77,23.66,31.54,0,2.63,44.69,0,0,0,10.51,0,0,0,407.45,10.51,0,165.61,2.63,5.26,0,0,0,0,0
 10-12,0,9.44,34.62,0,0,62.94,0,0,0,12.59,0,0,0,512.96,12.59,0,182.52,3.15,0,0,18.88,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.82,0,0,0,0,0,0,0,0,0.82,0.82
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,1.61,0,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0.57,0,0.57,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0,2.94,0,0,0,0,0,0.98,0,0,0.98,0
 72-82,0,0,0,0,0,0,0,0,0.98,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,1.06,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,1.96,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0,0
