stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,1,6,4,3,0,0,11,0,0,0,0,0,0,0,11,0,6,55,1,4,4,1,0,0,0,5,27,3,79,0,0,0
 24-34,0.82,0,4.1,0.82,0.82,0,0.82,10.67,0,0,0,0,0,0.82,1.64,10.67,0,3.28,64.85,0.82,2.46,1.64,0,0,1.64,0,0,4.1,1.64,46.79,0,0,0
 36-46,0,0,1.61,0,8.86,0,0.81,9.67,0,0,0.81,0,0,0.81,0,9.67,0,4.03,132.13,0,9.67,3.22,0,0,0,0,0,6.45,0,42.7,0,0,0
 48-58,0,0,1.15,0,18.94,0,0,13.2,0,0,0,0,0,1.72,0,11.48,0,3.44,103.86,0,6.31,1.72,0,0,0,0,0,2.87,0,37.3,0,0.57,0
 60-70,0,0,1.96,0,68.71,0,0,18.65,0,0,0.98,0,0,0.98,0,11.78,0,0,171.77,0,8.83,2.94,0,0,1.96,0,0,0,0,25.52,0,0.98,0
 72-82,0,0,0.98,0,52.03,0,0,22.58,0,1.96,2.94,0,0,5.89,0,24.54,0.98,0,96.2,0,16.69,5.89,0,0,0,0,0,0.98,0,10.8,3.93,2.94,0
 84-94,0,1.06,2.12,0,55.23,1.06,1.06,8.5,1.06,0,1.06,0,0,6.37,0,22.3,2.12,4.25,87.09,0,10.62,11.68,0,0,1.06,1.06,0,2.12,0,11.68,0,2.12,0
 96-106,0,0,6.56,1.09,27.32,0,0,14.21,1.09,1.09,4.37,0,1.09,7.65,0,17.49,1.09,1.09,54.64,0,20.76,22.95,0,0,3.28,0,0,2.19,0,1.09,0,4.37,0
108-118,0,0.77,4.6,0,32.94,0,0,9.19,1.53,0,1.53,0.77,0.77,7.66,0,10.72,0.77,1.53,72,0,14.55,7.66,0,0.77,3.06,0,0,3.83,0,7.66,1.53,0,0.77
120,0,0,1.96,0,21.56,0,0,3.92,0,0,1.96,0,0,1.96,0,1.96,0,3.92,62.71,0,1.96,1.96,0,0,1.96,0,0,7.84,0,7.84,0,0,0
