stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,2,1,0,0,0
 24-34,0,1.64,0,0,0,0,0,0.82,0,0,0,0,0.82,0,0,0.82,0.82,0,0.82,4.93,0,0.82,0,0,3.28,0,0,0,0,0
 36-46,0,0.81,0,0,0.81,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,4.03,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0.57,0,1.72,0.57,0,0.57,0,0,0,0,0,0,0,1.72,1.15,0,0,8.61,0,0,0,0,2.87,1.15,0,0.57,0,0
 60-70,0,0.98,0,0,1.96,0,0.98,0.98,0.98,0,0,0,0,0,0,0.98,2.94,0,0,2.94,0,1.96,1.96,0,0.98,0.98,0,0.98,0,0
 72-82,0,0,0,0,2.94,0.98,1.96,6.87,0,0,0.98,0,0,0,0,1.96,3.93,0,0,7.85,0,1.96,4.91,0,1.96,0,0,0.98,0,0.98
 84-94,0,0,1.06,0,3.19,1.06,1.06,18.05,0,0,1.06,1.06,1.06,1.06,0,2.12,0,0,0,2.12,0,3.19,2.12,0,9.56,0,0,1.06,0,0
 96-106,0,0,0,0,4.37,0,1.09,19.67,0,1.09,0,0,1.09,0,0,2.19,4.37,0,0,7.65,0,3.28,3.28,0,5.46,0,0,0,0,0
108-118,0.77,2.3,0,6.89,1.53,0,0,30.64,0,0,0,0,0.77,0,0.77,0.77,3.83,0.77,0,4.6,0,0.77,3.83,0,1.53,3.06,0,0,0.77,0
120,0,3.92,0,3.92,0,0,0,19.6,0,0,0,0,1.96,0,0,1.96,0,0,0,3.92,1.96,1.96,5.88,0,9.8,1.96,0,0,0,1.96
