stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,gut,hatching.gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,23.66,0,0,13.14,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,1,2,0,0,0,0,0,2,1,0,0,0,0,0,2,0,7,1,0,0,0,1,1,1,0,0
 24-34,0,0,0,0,0.82,0,0,1.64,0,0.82,0,0,1.64,0,0,0.82,0,2.46,2.46,11.49,0,0,0,0.82,0,1.64,0.82,0.82,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0.81,0,7.25,0,0,0,0,0,0,1.61,0,0
 48-58,0,0,0,0,0.57,0,0,0.57,0.57,0,0,0.57,0,0,0,0,0,0.57,0,5.74,0,0,0,0,0,0,1.15,0,0
 60-70,0,0,0,0,0.98,0,0,2.94,0,0,0,0,0.98,0,0,0.98,0,0,0,3.93,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,2.94,0,0,0,0,2.94,0,0,0,0,0,0,0,2.94,0,6.87,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,2.12,0,2.12,0,0,1.06,0,1.06,0,0,0,0,1.06,0,0,1.06,0,0,0,1.06,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,1.09,0,0,0,1.09,0,0,0,0,0,1.09,0,1.09,0,2.19,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,3.83,0,0.77,0,0,0.77,0.77,0,0,0,0,0.77,0,0.77,0,0.77,0,0,0,0.77,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0
