stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,500.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,245.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,0,0,0,0,21,0,1,18,29,2,0,0,0,0,0
 24-34,0,0,0.82,0,2.46,0,0,2.46,100.14,0,0.82,2.46,0,1.64,0,0,0,0.82,0,0,3.28,0.82,0,22.98,36.12,8.21,0,1.64,0,0,68.95,0,0,47.61,57.46,15.6,0,0,2.46,0,0
 36-46,0,0,0,0.81,1.61,0,0,12.89,128.1,0.81,0.81,0,0,0.81,0,0,0,0,0.81,4.83,4.03,0,0,9.67,47.53,2.42,0.81,0,0,0,49.15,0.81,0,33.84,8.06,24.17,0,0,0.81,0,2.42
 48-58,0,0,0.57,0,1.15,0,0,15.49,78.04,0.57,0,2.87,0,1.15,0,0.57,2.3,0.57,0,3.44,2.87,0.57,0,5.74,48.2,5.16,1.15,1.15,0,0,37.87,0,0,28.69,0,11.48,0,0,0,0,4.02
 60-70,0,0,0,0,0.98,0.98,0,18.65,65.76,1.96,0,3.93,0.98,0,0,0,1.96,0,0,3.93,5.89,0,0,4.91,59.87,0.98,0.98,0,0.98,0,44.17,0,0,8.83,0,10.8,0,2.94,0,10.8,1.96
 72-82,0,0,1.96,0,3.93,1.96,0,19.63,44.17,0,0.98,10.8,0,0,0,0,5.89,3.93,0,4.91,5.89,0,2.94,7.85,82.46,0.98,0,0,0,0,59.88,0,0,4.91,0,0.98,0,2.94,0.98,44.17,5.89
 84-94,0,0,1.06,0,8.5,3.19,0,18.05,47.79,2.12,1.06,0,1.06,0,0,0,8.5,1.06,0,9.56,6.37,0,6.37,11.68,43.54,0,1.06,2.12,0,0,147.62,0,0,7.43,0,2.12,1.06,4.25,0,48.85,2.12
 96-106,0,0,1.09,0,12.02,6.56,1.09,15.3,65.57,4.37,0,13.11,1.09,1.09,0,1.09,9.84,3.28,0,12.02,10.93,0,2.19,5.46,44.81,1.09,0,1.09,0,0,139.88,0,0,6.56,0,2.19,0,6.56,2.19,79.78,2.19
108-118,0,0,0.77,0,23.74,1.53,0.77,12.26,59.75,2.3,1.53,8.43,1.53,0,0.77,3.06,23.74,2.3,0,13.02,6.89,2.3,0,9.96,64.34,0.77,0.77,0.77,0,1.53,160.85,0,0,2.3,0,2.3,0.77,2.3,1.53,47.49,6.89
120,0,0,1.96,0,19.6,5.88,0,5.88,41.16,5.88,0,3.92,0,0,0,5.88,3.92,1.96,0,5.88,3.92,3.92,0,11.76,41.16,1.96,0,0,0,0,148.94,0,0,1.96,0,9.8,0,1.96,0,56.83,1.96
