stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
 14-21,0,11,73,1,3,0,0,8,5,0,0,1,13,0,7,141,0,1,2,2,1,5,6,1,2,246,0,0,0
 24-34,0.82,5.75,35.3,0,0.82,0,0,6.57,3.28,0,0,0.82,13.13,0,6.57,163.35,0.82,2.46,3.28,0,4.93,0,6.57,1.64,3.28,96.86,0,0,1.64
 36-46,0,0.81,24.98,0,0.81,2.42,2.42,2.42,2.42,0,0,0.81,3.22,0,2.42,55.59,0,0.81,0,0,2.42,0,3.22,0,0,45.12,0,0,0
 48-58,0,0,17.79,0,4.02,1.15,1.15,1.15,5.74,0,0,0,2.3,0,1.72,10.33,0.57,0.57,0.57,0,1.72,0,0.57,0,0,17.79,0,0,0
 60-70,0,0,22.58,0,3.93,0.98,0,0,2.94,0,2.94,1.96,8.83,0,0.98,10.8,0,0.98,0,0,0,0,0.98,0,0,3.93,0,0,0.98
 72-82,0.98,0,27.49,1.96,3.93,0,0,0.98,18.65,1.96,0.98,0,11.78,0,0,9.82,0,2.94,1.96,0,0,0,0,0,0,1.96,2.94,0,0.98
 84-94,1.06,0,70.09,2.12,5.31,2.12,1.06,2.12,43.54,4.25,0,0,3.19,0,0,6.37,0,0,2.12,0,1.06,0,2.12,0,0,4.25,3.19,0,0
 96-106,3.28,0,64.48,0,2.19,2.19,0,0,44.81,1.09,3.28,0,2.19,0,1.09,10.93,0,3.28,0,0,3.28,0,2.19,0,0,2.19,2.19,0,0
108-118,0,0.77,85.02,0.77,2.3,8.43,0,0.77,22.21,0.77,0.77,0.77,3.83,0,0,10.72,0,2.3,0,0,0.77,0,1.53,0,0,0.77,5.36,0,1.53
120,0,1.96,76.43,1.96,0,9.8,0,0,21.56,1.96,0,0,0,1.96,0,7.84,0,0,3.92,0,1.96,0,3.92,0,0,0,5.88,1.96,0
