stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,periderm,slow_muscle,spinal_cord,taste,vasculature
 60-70,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,23.56,0,0,0,3.93,0,0,0,0,0,0
 84-94,0,1.06,0,0,0,0,0,0,6.37,0,0,145.5,0,0,0,4.25,0,0,0,0,0,0
 96-106,4.37,3.28,1.09,5.46,0,1.09,0,2.19,6.56,1.09,1.09,304.9,9.84,2.19,2.19,64.48,0,5.46,0,0,0,1.09
108-118,4.6,1.53,1.53,10.72,0,1.53,0.77,3.83,5.36,0.77,0,923.75,5.36,0,0.77,41.36,0.77,4.6,0.77,0.77,0,0.77
120,0,0,0,5.88,1.96,0,0,0,0,0,0,393.92,1.96,0,1.96,21.56,0,1.96,0,0,1.96,0
