stage,blastomeres,epidermis,eye,fast.muscle,glial,gut,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,pericytes,periderm,slow.muscle,spinal.cord,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0.82,0,0,0,0,0,2.46,0,10.67,0,0.82,0,0.82,0
 36-46,0,0,1.61,0,0,0,0,0.81,0,0,0,0,0,1.61,0,6.45,0,0,0,0.81,0
 48-58,0,0,2.3,0,1.15,0,0,4.02,0,0,0,0,0.57,8.61,0,9.18,0,0,0,1.72,0
 60-70,0,0,10.8,0,0,0,0,10.8,0,0,0,0,0,18.65,0,22.58,0,0,0,1.96,0
 72-82,0,0.98,11.78,0,0.98,0,0,23.56,0,0,1.96,0,0,30.43,0,43.19,0,0,0,5.89,0
 84-94,0,0,1.06,0,0,0,0,37.17,0,1.06,1.06,0,0,14.87,0,69.03,0,0,0,0,1.06
 96-106,0,1.09,3.28,0,0,0,1.09,66.66,0,0,2.19,1.09,0,17.49,0,80.87,1.09,0,0,0,0
108-118,0,0,7.66,0.77,0,0.77,0,36,0.77,0,3.06,0,0,25.28,0.77,57.45,0,1.53,0.77,0,0
120,0,1.96,3.92,0,1.96,0,1.96,33.32,0,0,0,0,0,33.32,0,66.63,0,1.96,1.96,0,0
