stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.23,5.26,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,0,15.73,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,144.76,3.15,0,0,59.79,0,0,6.29,0,3.15,0,12.59,0,0,0,0,0,0
 14-21,0,0,0,1,8,24,0,7,0,0,5,1,0,4,0,0,0,0,0,1,48,0,0,15,244,0,0,1,0,0,0,1,4,8,4,10,60,0,0,11,0,1
 24-34,0,0,0,0.82,4.93,6.57,0,30.37,0,0,29.55,3.28,0,8.21,0,1.64,0,0,0,3.28,41.04,0,0,9.03,993.24,0,0,4.1,0,0.82,7.39,0,0,5.75,0,4.93,147.75,0,0,36.12,0,2.46
 36-46,0,0,0,0,2.42,1.61,0,34.64,0,0.81,39.48,0.81,0,14.5,0,0,0,0,3.22,4.03,29.81,0,6.45,3.22,794.39,0,2.42,1.61,0,0,6.45,0,0,4.03,0,0,219.14,0,0.81,24.17,0,9.67
 48-58,0,0,0,0.57,2.3,0.57,0,37.3,0.57,0.57,65.99,0,0,12.05,1.72,0,0.57,0.57,5.74,1.72,40.17,0.57,11.48,5.74,197.96,0.57,0,1.15,0,4.02,4.59,0,0.57,2.3,0,0,134.27,0,0.57,27.54,0.57,13.2
 60-70,0,0,0,0,0.98,0,0,34.35,0,0,64.78,5.89,0,8.83,0.98,1.96,4.91,0.98,8.83,1.96,55.95,0,11.78,6.87,78.52,0,0,0,0,2.94,5.89,0,0,5.89,0,0,26.5,0,2.94,14.72,2.94,19.63
 72-82,0,0,1.96,0.98,0,11.78,0,41.23,0,0,83.44,2.94,0,23.56,2.94,0.98,8.83,0,10.8,0.98,84.42,0,8.83,5.89,50.06,0,1.96,3.93,0,1.96,1.96,0,0,2.94,0,0,16.69,0,7.85,48.1,2.94,13.74
 84-94,0,0,1.06,2.12,7.43,7.43,0,39.3,0,0,52.04,6.37,1.06,15.93,2.12,3.19,3.19,1.06,27.61,0,62.66,0,4.25,4.25,39.3,0,2.12,4.25,0,2.12,13.81,0,0,13.81,0,0,9.56,0,6.37,33.99,6.37,14.87
 96-106,0,0,0,0,5.46,7.65,1.09,42.62,0,1.09,55.74,10.93,0,28.41,13.11,0,2.19,2.19,28.41,2.19,78.68,1.09,9.84,6.56,43.71,0,2.19,5.46,0,2.19,9.84,0,0,4.37,0,0,7.65,1.09,3.28,41.53,4.37,13.11
108-118,0,0,0,3.06,5.36,0,1.53,29.11,1.53,1.53,49.02,9.19,0,8.43,5.36,0,4.6,0,26.81,3.06,65.87,0.77,8.43,3.83,38.3,0,2.3,6.13,0,2.3,4.6,0,0,4.6,0,0,3.06,1.53,2.3,39.06,2.3,22.21
120,0,0,1.96,1.96,9.8,3.92,0,21.56,1.96,0,29.4,23.52,0,7.84,15.68,0,1.96,3.92,19.6,3.92,72.51,1.96,5.88,3.92,43.12,0,1.96,3.92,0,0,0,0,0,3.92,1.96,0,0,0,5.88,23.52,1.96,11.76
