stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,heart,lateral.line,liver,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,26.36,553.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,367.78,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,49.95,0,15.77,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,6.29,0,6.29,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,2,0,0,0,0,0,0,0,0,4,1,0,0,1,0,1,0,0,0,0
 24-34,0,0,0,0.82,3.28,0,0.82,0.82,0,0,0,0,0.82,8.21,0.82,0,0,0,0.82,4.93,0,0,0,0
 36-46,0,0,0,0,0,0,1.61,0,0,0,0,0,0,12.09,2.42,0,2.42,0,0,1.61,0,0,0.81,0
 48-58,0,0,0,0,0,0,1.15,0,0,0,0,0,0,18.94,0,0,0,0,0,2.3,0,0,0,0
 60-70,0,0,0,0,0,0,2.94,0.98,0,0,0,0,0,10.8,2.94,0,0,0,0,0.98,0,0,0.98,0
 72-82,0,0,0,0,0,0,2.94,0.98,0,0,0,0,0,26.5,4.91,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,1.06,2.12,5.31,0,0,0,1.06,0,19.12,2.12,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,1.09,0,0,2.19,2.19,0,0,0,1.09,0,18.58,3.28,0,1.09,0,0,2.19,0,0,0,0
108-118,0,0,0.77,0,0,0.77,2.3,0.77,0.77,0.77,0,0,0,19.92,2.3,0,0,0,0,0.77,0.77,0.77,0.77,0.77
120,0,0,0,1.96,0,0,3.92,0,0,0,1.96,0,0,13.72,1.96,0,0,0,0,0,0,0,0,0
