stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,vasculature
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,9.44,3.15,0,0,0
 14-21,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0,1,0,0
 24-34,0,20.52,0,0,0,2.46,0,0,2.46,0,0,0.82,0,0,1.64,1.64,0,0.82,0,0.82
 36-46,0,9.67,0,0,0,4.83,0,0,0,0,0,0,0,0,0.81,0.81,0,0.81,0,0
 48-58,0,16.07,0,1.72,0,4.59,0,0,0,0,0,0,0,1.15,1.15,0,0,0.57,0,0
 60-70,0,16.69,0,0.98,0,10.8,0,0,0,0,0,0,0,0,0,0,0,0.98,0.98,0
 72-82,0,20.61,0,1.96,0,7.85,0.98,0.98,0,0.98,0,0,0,0,0,0,0,0,0,0
 84-94,0,69.03,0,1.06,0,22.3,0,0,0,3.19,3.19,0,0,0,2.12,0,0,0,0,0
 96-106,0,44.81,0,1.09,1.09,13.11,0,0,0,3.28,1.09,3.28,0,0,0,0,0,2.19,0,0
108-118,0,43.66,0,0,0,13.79,0,0,0,0,0,0,0.77,0,4.6,0,0,0.77,0,0
120,0,29.4,0,0,0,13.72,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
