stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.35,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,3.15,0,0,9.44,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,2,21,0,1,0,0,2,4,0,0,1,19,0,0,2,0,0
 24-34,0,0,0.82,0,8.21,0,0,7.39,0,3.28,0,3.28,0,0,0,0,1.64,0,0.82,0,0,13.13,0,0,6.57,128.05,0,2.46,3.28,0,13.13,0,0.82,0,0,43.51,0,0,4.93,0,0
 36-46,0,0,0,0,4.03,0,0,19.34,0.81,4.03,0.81,5.64,0.81,0.81,1.61,0,2.42,0,0.81,0,0.81,12.09,0,0,2.42,165.97,1.61,3.22,1.61,0,12.09,0,0,0,0,35.45,0,0,2.42,0,0.81
 48-58,0,0,0,0,5.16,1.72,0,40.74,0.57,1.15,0,8.03,0,0.57,0.57,0.57,1.72,0,0.57,0,2.3,17.79,0.57,0,0.57,127.96,0,1.72,0.57,0,5.74,0,0,0,0,28.12,0,0,2.87,0,2.87
 60-70,0,0,0,0,4.91,5.89,0,68.71,1.96,6.87,0.98,12.76,0,0.98,0,3.93,1.96,1.96,0,0.98,2.94,20.61,0.98,0.98,1.96,128.58,0,1.96,0.98,0,9.82,0,1.96,0,0,15.7,0,0,5.89,0,0
 72-82,0,0,0,0,7.85,49.08,0,83.44,0,2.94,0,12.76,0,0,0.98,5.89,0,0.98,1.96,0.98,0.98,25.52,1.96,0,4.91,119.76,0.98,0.98,2.94,0,11.78,0,1.96,0,0,11.78,0.98,0.98,7.85,0.98,0.98
 84-94,0,0,0,0,12.74,36.11,0,35.05,0,2.12,1.06,11.68,4.25,3.19,0,4.25,7.43,0,0,0,6.37,28.68,1.06,0,2.12,54.16,4.25,2.12,0,0,35.05,0,1.06,0,0,6.37,2.12,1.06,5.31,1.06,2.12
 96-106,0,0,0,0,13.11,30.6,0,55.74,2.19,3.28,0,13.11,5.46,0,0,4.37,3.28,3.28,0,0,1.09,18.58,4.37,1.09,2.19,72.13,4.37,1.09,2.19,0,24.04,0,0,0,0,9.84,1.09,0,4.37,2.19,2.19
108-118,0,0,1.53,0,20.68,16.85,2.3,42.89,1.53,8.43,0,15.32,4.6,0,0,3.06,3.83,2.3,1.53,0.77,2.3,19.15,1.53,1.53,3.06,66.64,0.77,1.53,2.3,0,28.34,0,1.53,1.53,0,4.6,0.77,0.77,4.6,1.53,3.06
120,0,0,0,0,43.12,19.6,0,58.79,1.96,13.72,0,17.64,7.84,0,0,5.88,0,0,0,3.92,1.96,29.4,0,1.96,0,99.95,1.96,1.96,1.96,0,45.08,0,0,0,0,3.92,0,0,13.72,0,1.96
