stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,355.8,7695.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.63,0,0,0,0,0,0,0,0,0,0,0
  5-6,643.61,8330.17,24.52,0,0,0,0,0,0,0,0,0,42.91,0,0,0,0,0,0,0,0,0,0,0,202.28,12.26,0,0,122.59,0,116.46,0,0,0,0,0,0,0,0,0,0,0
  7-9,113.03,89.38,291.79,0,0,0,370.65,0,0,0,0,0,147.21,0,0,0,0,0,0,0,0,0,0,0,3580.31,123.55,0,0,1501,0,7.89,26.29,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,59.79,113.29,0,18.88,0,182.52,0,0,0,0,0,40.91,0,0,0,0,0,0,0,0,0,0,0,1538.87,28.32,0,0,736.39,0,9.44,12.59,6.29,81.82,0,3.15,3.15,0,0,0,0,0
 14-21,1,0,20,135,42,0,56,0,0,0,15,5,1,1,0,3,0,0,0,0,78,0,0,69,769,20,5,11,50,0,48,0,153,9,1,95,293,0,0,5,0,0
 24-34,0,0,2.46,48.43,12.31,0,155.96,0,0,0.82,22.98,2.46,0.82,1.64,2.46,0.82,1.64,1.64,2.46,0,128.05,2.46,0,56.64,1047.41,13.95,14.78,13.13,0,0,87.83,0,0.82,3.28,0,13.13,311.93,0,0,22.16,0,2.46
 36-46,0,0,0.81,19.34,5.64,0,381.08,0,0,0.81,17.72,1.61,0,0,2.42,0.81,0,1.61,0.81,0.81,118.43,0,3.22,55.59,806.47,2.42,4.83,6.45,0,0,35.45,0,0,2.42,0,0,215.92,0,0,12.09,0,5.64
 48-58,0,0,0,26.97,5.16,0,465.93,0,1.15,1.15,24.67,2.3,0,2.3,2.87,0.57,3.44,1.72,1.15,0,140.01,1.15,9.75,32.71,419.45,3.44,2.87,3.44,0,0.57,12.62,0,0,0.57,0,0,86.07,0,0,12.62,0,3.44
 60-70,0,0,0,26.5,1.96,0,351.38,0.98,0,1.96,23.56,2.94,0,2.94,3.93,1.96,0.98,2.94,0,0,90.3,0.98,11.78,22.58,211.03,1.96,0,1.96,0,0,9.82,0,0,1.96,0,0,15.7,0,0,8.83,0.98,0
 72-82,0,0,0,32.39,1.96,0,144.3,0.98,0,0.98,38.28,8.83,0,1.96,3.93,4.91,0.98,0.98,0.98,0,118.78,1.96,8.83,20.61,165.9,0.98,4.91,4.91,0,0.98,8.83,0,0,0.98,0,0,3.93,0,0.98,14.72,0,1.96
 84-94,0,0,0,32.92,4.25,0,96.65,0,0,0,26.55,12.74,0,0,4.25,2.12,2.12,0,1.06,0,77.53,0,12.74,16.99,140.19,3.19,2.12,9.56,0,0,12.74,0,0,2.12,0,0,3.19,3.19,0,16.99,0,0
 96-106,0,0,1.09,30.6,6.56,0,102.73,0,2.19,0,36.06,12.02,0,5.46,4.37,0,1.09,1.09,3.28,0,63.39,0,2.19,7.65,112.56,1.09,1.09,6.56,0,1.09,9.84,0,0,2.19,0,0,3.28,0,0,12.02,0,1.09
108-118,0,0,0.77,20.68,10.72,1.53,76.6,0,0,0.77,36.77,6.89,0,1.53,9.19,0.77,2.3,0,2.3,0,32.17,0,3.06,16.09,130.21,0,3.83,2.3,0,0.77,8.43,0,0,3.06,0,0,0.77,2.3,0,6.89,0,0
120,0,0,0,13.72,7.84,0,74.47,0,0,0,9.8,1.96,0,0,7.84,1.96,3.92,0,0,0,39.2,0,1.96,11.76,141.1,1.96,0,3.92,0,0,7.84,0,0,0,0,0,3.92,1.96,0,5.88,0,0
