stage,blastomeres,epidermis,eye,hatching.gland,lateral.line,mesenchyme,mucous,neural,otic,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,2.46,1.64,0
 36-46,0,0,0,0,0,0,0,2.42,0.81,0
 48-58,0,0,0.57,0,0,0,0.57,1.72,1.15,0
 60-70,0,0,0,0,0.98,0,0,3.93,5.89,0
 72-82,0,0,2.94,0,0.98,0,0,8.83,13.74,0
 84-94,0,1.06,1.06,0,0,0,1.06,2.12,16.99,1.06
 96-106,0,0,2.19,0,0,1.09,0,2.19,16.39,0
108-118,0,0,0.77,0,0,0.77,0,4.6,11.49,0
120,0,1.96,1.96,0,0,0,0,5.88,23.52,0
